,IndCode,IndName
0,AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years
1,AIR_11,Household air pollution attributable deaths
2,AIR_12,Household air pollution attributable deaths in children under 5 years
3,AIR_15,Household air pollution attributable DALYs
4,AIR_16,Household air pollution attributable DALYs in children under 5 years
5,AIR_17,Household air pollution attributable DALYs (per 100 000 population)
6,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)"
7,AIR_4,Ambient air pollution attributable deaths in children under 5 years
8,AIR_41,Ambient air pollution attributable deaths
9,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)"
10,AIR_43,Ambient air pollution attributable DALYs
11,AIR_44,DALYs attributable to ambient air pollution (age-standardized)
12,AIR_45,Ambient air pollution attributable YLLs
13,AIR_46,YLLs attributable to ambient air pollution (age-standardized)
14,AIR_5,Ambient air pollution attributable death rate (per 100 000 population)
15,AIR_51,Household air pollution attributable death rate (per 100 000 population)
16,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)"
17,AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years
18,AIR_7,Ambient air pollution attributable DALYs
19,AIR_8,Ambient air pollution attributable DALYs  in children under 5 years
20,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population)
21,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)"
22,AMRGLASS_COORD01,Functioning national AMR surveillance plan
23,AMRGLASS_COORD02,Establishment of National Coordination Centre (NCC)
24,AMRGLASS_COORD03,Nomination of National Focal Point (NFP)
25,AMRGLASS_COORD04,Establishment of national reference laboratory (NRL)
26,AMRGLASS_QA01,EQA provided to the national reference laboratory (NRL)
27,AMRGLASS_QA02,EQA provided for bacterial identification and AST
28,AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS
29,AMRGLASS_QA04,GLASS pathogens testing covered by EQA
30,AMRGLASS_QA05,Types of AST standards followed by countries
31,AMRGLASS_SURVL01,Number of national surveillance sites in each country providing data to GLASS: hospital category
32,AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category
33,AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites
34,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%
35,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)
36,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)
37,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)
38,asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years)
39,ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%)
40,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate)
41,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate)
42,BP_05,Mean systolic blood pressure (crude estimate)
43,BP_06,Mean systolic blood pressure (age-standardized estimate)
44,Camp_airtime,Process evaluation was employed to assess implementation
45,Camp_aud_research,Formative research was conducted
46,Camp_eval_impact,Outcome evaluation was employed to assess effectiveness
47,Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme
48,Camp_mat_tested,Campaign was pre-tested
49,Camp_media_planning,Campaign utilized media planning
50,Camp_nat,At least one national mass media campaign ran during the survey period
51,Camp_news,Earned media/public relations were used to promote the campaign
52,Camp_tv_radio,Campaign aired on television and/or radio
53,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%)
54,CaseCS,Congenital syphilis number of reported cases
55,CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%)
56,CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%)
57,CC_1,Climate change attributable deaths
58,CC_2,Climate change attributable DALYs ('000)
59,CC_3,Climate change attributable deaths per 100'000 capita
60,CC_4,Climate change attributable DALYs per 100'000 capita
61,CC_5,Climate change attributable deaths ('000) in children under 5 years
62,CC_6,Climate change  attributable deaths per 100'000 children under 5 years
63,CC_7,Climate change attributable DALYs ('000) in children under 5 years
64,CC_8,Climate change  attributable DALYs per 100'000 children under 5 years
65,cci,Composite coverage index (%)
66,cci2030,Composite coverage index (%)
67,CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population)
68,CCO_2,Human development index rank
69,CCO_3,Gender inequality index rank
70,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)
71,CHOLERA_0000000001,Number of reported cases of cholera
72,CHOLERA_0000000002,Number of reported deaths from cholera
73,CHOLERA_0000000003,Cholera case fatality rate
74,CM_01,Number of under-five deaths
75,CM_02,Number of infant deaths
76,CM_03,Number of neonatal deaths
77,cpmt,Contraceptive prevalence - modern and traditional methods (%)
78,csection,Births by caesarean section (in the two or three years preceding the survey) (%)
79,csection5,Births by caesarean section (in the five years preceding the survey) (%)
80,DEVICES00,Total density per 100 000 population: Hospitals
81,DEVICES01,Total density per 100 000 population: Health posts
82,DEVICES02,Total density per 100 000 population: Health centres
83,DEVICES03,Total density per 100 000 population: District/rural hospitals
84,DEVICES04,Total density per 100 000 population: Provincial hospitals
85,DEVICES05,Total density per 100 000 population: Specialized hospitals
86,DEVICES06,Availability of national standards or recommended lists of medical devices
87,DEVICES07,Types of lists recommending health technology for high burden diseases
88,DEVICES08,Total density per million population: Magnetic Resonance Imaging
89,DEVICES09,Total density per million population: Computed tomography units
90,DEVICES10,Total density per million population: Positron Emission tomography
91,DEVICES11,Total density per million population: Gamma camera or Nuclear medicine
