,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,per_capita-Malaria,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition,Mean hemoglobin level of children aged 6-59 months,per_capita-Meningitis
0,9.59386,0.0012858426629595,0.0001221605614351,1300.0,0.0001163554983354,108.0,0.0001266944428342
1,9.41968,0.0012941610824035,8.75011417539292e-05,1240.0,0.0001193342810757,109.0,0.0001319715574899
2,9.4241,0.0012538896573988,3.008058795758489e-05,1180.0,0.000115886146103,109.0,0.0001303621858446
3,9.55693,0.001173280791254,2.0695126908973565e-05,1140.0,0.0001072349328274,110.0,0.0001229556347362
4,9.78268,0.0010829189803812,1.524615581438667e-05,1120.0,9.851078938039696e-05,110.0,0.0001140883833646
5,10.04326,0.0010104032981386,1.4349830014761704e-05,1090.0,8.905657864123102e-05,110.0,0.0001070942784562
6,10.23361,0.000931215513444,9.203874260784525e-06,1030.0,8.052487637572655e-05,110.0,9.857168865177465e-05
7,10.19123,0.0008545258554105,8.390783871944421e-06,993.0,7.014554885416298e-05,110.0,8.636539048110157e-05
8,9.82583,0.0008138876198424,1.2946104918805602e-05,954.0,6.6344495233773e-05,110.0,8.275892003798807e-05
9,9.21902,0.0007689809038817,1.3105910611103072e-05,905.0,6.065684270010524e-05,110.0,7.819859997958167e-05
10,8.45282,0.0007285355836476,3.0900796346395034e-06,858.0,5.4799603733447365e-05,111.0,7.409616485614298e-05
11,7.59035,0.000715569808946,4.596877029617647e-06,810.0,5.307303479649465e-05,111.0,7.332501052138358e-05
12,6.70168,0.000683471196544,7.164663577565402e-06,786.0,4.961843767094636e-05,111.0,6.080536852012742e-05
13,5.91332,0.0006453684831095,8.721195717696368e-06,701.0,4.511069193414072e-05,111.0,5.592006127438411e-05
14,5.29697,0.000618054277172,1.1640457237160276e-05,673.0,4.248166867994575e-05,110.0,5.385211531108942e-05
15,4.86943,0.0005822156617302,1.1692372107427288e-05,638.0,3.903318207291516e-05,110.0,4.879147759114395e-05
16,4.55533,0.0005571898828336,1.365575288737122e-05,1014.3333333333334,3.648371747806259e-05,110.0,4.618340461480052e-05
