,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",Out-of-pocket expenditure (OOP) per capita in US$,"Nursing and midwifery personnel (per 10,000)",per_capita-Alzheimer's Disease and Other Dementias
0,1.1,2.357733333333333,28.2,13.49,3.563,5.5550640319646266e-05
1,1.1,2.357733333333333,28.9,14.66,3.563,5.302857128231724e-05
2,1.1,2.357733333333333,29.6,17.25,3.563,5.230053067916442e-05
3,1.1,2.357733333333333,30.3,18.87,5.82,5.171883091747156e-05
4,1.1,1.596,31.1,21.39,4.4,5.085734584460867e-05
5,1.1,1.743,31.8,24.45,4.956,5.119201445469697e-05
6,1.1,1.744,32.6,28.73,4.971,5.139732136218494e-05
7,1.1,2.126,33.4,30.37,6.078,5.0871321466307385e-05
8,1.1,2.365,34.2,35.54,3.563,5.068554604816198e-05
9,1.1,2.518,35.0,37.25,3.563,5.0676187696265215e-05
10,1.1,2.414,35.8,38.32,3.563,5.075620165833397e-05
11,1.1,2.846,36.7,39.65,2.495,5.082281527150699e-05
12,1.1,2.983,37.5,43.11,1.476,5.090682015638575e-05
13,1.1,2.85,38.4,46.17,1.299,5.0730335653642254e-05
14,1.1,2.782,39.2,45.73,1.482,5.070199157422904e-05
15,1.1,2.409,40.1,49.6,1.755,5.063764160810615e-05
16,1.1,2.966,40.9,53.36,4.461,5.148746313972367e-05
17,1.1,2.125,41.8,52.18,3.563,4.960808772252651e-05
18,1.4,13.821,21.1,48.69,40.17,0.0001386799191477
19,1.4,13.1,21.7,51.76,38.32,0.00014418149349
20,1.4,11.695,22.3,57.48,36.69,0.0001520321959646
21,1.4,11.863,22.8,68.05,36.042,0.0001593007706052
22,1.4,11.913,23.4,82.45,35.866,0.0001644974455286
23,1.4,13.2478,24.1,86.81,36.076,0.0001699435912916
24,1.4,11.838,24.6,89.62,41.613,0.0001753289247146
25,1.4,11.951,25.2,124.44,42.011,0.0001815097398527
26,1.4,13.2478,25.8,117.0,40.339000000000006,0.000190005700171
27,1.4,12.297,26.4,87.84,41.894,0.0001978179672359
28,1.4,12.347,27.0,90.9,40.183,0.0002062302976412
29,1.4,12.217,27.6,104.57,41.761,0.0002160507328527
30,1.4,12.683,28.1,107.68,44.192,0.0002257848270598
31,1.4,12.773,28.7,120.57,42.892,0.0002357703463997
32,1.4,13.2478,29.2,131.07,40.339000000000006,0.0002460094649078
33,1.4,13.2478,29.7,83.49,40.339000000000006,0.0002561666509313
34,1.4,12.164,30.1,84.37,36.495,0.0002662415577731
35,1.4,13.2478,30.6,100.59,40.339000000000006,0.0002769040681603
36,1.4,21.584,31.0,122.57,40.339000000000006,0.0002887151421577
37,1.0,13.7642,22.3,15.88,20.2648,7.292330912897297e-05
38,1.1,13.7642,22.9,14.48,20.2648,7.49166588608237e-05
39,1.1,11.103,23.6,14.97,21.896,7.699805317240921e-05
40,1.1,13.7642,24.4,16.02,20.2648,7.901478269548534e-05
41,1.1,13.7642,25.2,24.14,20.2648,8.141138103741733e-05
42,1.1,10.242,26.1,28.29,20.2648,8.390473728849373e-05
43,1.1,13.7642,27.0,33.99,20.2648,8.637938749338122e-05
44,1.1,11.958,27.9,42.4,19.293,8.920130125995039e-05
45,1.1,13.7642,28.9,54.09,20.2648,9.185758059569908e-05
46,1.1,13.7642,29.9,57.13,20.2648,9.500211070288456e-05
47,1.1,13.7642,30.9,66.22,20.2648,9.83340631045044e-05
48,1.1,13.7642,31.8,80.1,20.2648,0.0001021004867675
49,1.1,13.7642,32.7,86.29,20.2648,0.0001061110473434
50,1.1,13.7642,33.6,91.49,20.2648,0.0001098860479449
51,1.1,13.7642,34.4,95.88,20.2648,0.0001141563602094
52,1.1,13.7642,35.3,82.24,20.2648,0.0001185308312256
53,1.1,18.325,36.1,80.53,22.43,0.0001231749031796
54,1.1,13.7642,36.8,83.96,22.228,0.0001279253646567
55,1.1,17.193,37.5,83.53,15.477,0.00013366731735
56,1.0947368421052632,13.7642,38.3,83.01,20.2648,0.0001362924110376
57,1.1,1.5550000000000002,21.1,3.55,9.024333333333333,3.358958666042394e-05
58,1.1,1.5550000000000002,21.6,13.04,9.024333333333333,3.40822451505889e-05
59,1.1,1.5550000000000002,22.2,14.43,9.024333333333333,3.471780559525324e-05
60,1.1,1.5550000000000002,22.7,16.92,9.024333333333333,3.5249606662884995e-05
61,1.1,0.621,23.3,23.36,9.854,3.583589674092428e-05
62,1.1,1.5550000000000002,23.9,22.97,9.024333333333333,3.629086751152167e-05
63,1.1,1.5550000000000002,24.6,21.41,9.024333333333333,3.709972016680929e-05
64,1.1,1.5550000000000002,25.2,26.36,9.024333333333333,3.763155791391343e-05
65,1.1,1.5550000000000002,26.0,29.36,9.024333333333333,3.844228387906368e-05
66,1.1,1.313,26.7,18.61,13.144,3.941920837053911e-05
67,1.1,1.5550000000000002,27.5,18.7,9.024333333333333,4.04861340271757e-05
68,1.1,1.5550000000000002,28.4,21.97,9.024333333333333,4.160794057337338e-05
69,1.1,1.5550000000000002,29.3,21.53,9.024333333333333,4.270031710108378e-05
70,1.1,1.5550000000000002,30.2,30.66,9.024333333333333,4.3737585689579055e-05
71,1.1,1.5550000000000002,31.1,35.38,9.024333333333333,4.468751378476209e-05
72,1.1,1.5550000000000002,32.1,36.4,9.024333333333333,4.611382256990856e-05
73,1.1,1.5550000000000002,33.1,33.49,9.024333333333333,4.749079085154855e-05
74,1.2,2.146,34.0,39.01,9.024333333333333,4.9013818809419606e-05
75,1.2,2.14,35.0,31.98,4.075,5.210130345883186e-05
76,1.1105263157894738,1.5550000000000002,36.0,26.72,9.024333333333333,5.222736697579968e-05
77,1.2,37.746,42.3,206.28,20.7174,0.0002013089258492
78,1.2,32.481,43.1,198.97,4.453,0.000205946978323
79,1.2,37.746,43.8,67.14,20.7174,0.0002109504327536
80,1.2,37.746,44.5,74.1,20.7174,0.0002156670026355
81,1.2,31.857,45.2,86.11,4.854,0.0002187816002093
82,1.2,37.746,45.9,129.82,20.7174,0.0002223001506332
83,1.2,37.746,46.5,147.73,20.7174,0.0002274423624198
84,1.2,37.746,47.1,178.97,20.7174,0.0002339145307067
85,1.2,37.746,47.7,225.9,20.7174,0.0002379576107899
86,1.2,37.746,48.2,205.74,20.7174,0.0002443931580279
87,1.2,37.746,48.8,263.79,20.7174,0.0002518189206447
88,1.2,37.746,49.3,324.97,20.7174,0.0002575070634886
89,1.2,37.746,49.9,356.99,20.7174,0.0002617053041848
90,1.2,39.385,50.4,381.25,42.463,0.0002650959916904
91,1.2,37.746,50.9,347.82,20.7174,0.0002668254851621
92,1.2,39.9,51.4,397.15,20.7174,0.0002682591187378
93,1.2,40.013,51.9,341.08,25.821,0.0002694525042679
94,1.2,39.901,52.3,395.28,25.996,0.0002686938476434
95,1.2,37.746,52.7,312.77,20.7174,0.0002690556030761
96,1.2,40.685,53.2,261.65,20.7174,0.0002676571975498
97,1.1,27.007,27.6,16.2,59.089,0.0001212796083293
98,1.1,26.187,28.3,16.41,54.519,0.0001261729626534
99,1.1,25.633,29.1,44.86,51.295,0.0001307311854929
100,1.1,24.563,29.9,51.04,49.382,0.0001375881496959
101,1.1,24.604,30.6,51.67,48.609,0.0001447502139495
102,1.1,25.643,31.3,60.64,49.884,0.0001545473806733
103,1.1,25.897,31.9,77.23,51.117,0.0001649659383974
104,1.1,26.724,32.6,100.5,51.419,0.0001746504467215
