,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
0,0.08,35.98287,85.38,0.89
1,0.65,35.66648,86.07,7.28
2,0.54,35.32785,84.53,5.54
3,0.53,35.01817,78.97,5.32
4,0.5,34.56518,76.82,4.69
5,0.56,34.1208,78.17,5.65
6,0.63,33.69409,75.4,6.12
7,0.53,33.2445,72.78,5.42
8,0.47,32.64088,79.0,5.47
9,0.48,32.11355,73.26,5.61
10,0.34,31.6925,74.49,4.34
11,0.44,31.10597,72.05,5.03
12,0.47,30.69205,73.06,4.96
13,0.52,30.30055,78.38,5.17
14,0.6,29.88528,75.97,5.08
15,0.64,29.43246,75.48,5.1
16,0.55,28.91195,76.22,3.89
17,1.08,28.37778,79.3,8.19
18,2.77,6.38091,60.4,38.24
19,2.75,6.26195,57.78,38.56
20,2.59,6.13664,59.71,37.47
21,2.67,6.02551,54.01,37.81
22,2.82,5.92923,52.66,41.65
23,2.67,5.79962,52.53,42.07
24,2.56,5.61353,51.35,42.59
25,2.44,5.36141,55.98,38.56
26,2.27,5.06642,53.07,44.2
27,2.34,4.77487,47.11,50.8
28,2.38,4.51758,47.34,50.12
29,2.37,4.36331,49.54,49.33
30,2.46,4.25269,50.38,48.57
31,2.58,4.12614,50.88,47.86
32,2.59,4.01272,52.15,47.13
33,2.73,3.93789,43.28,55.78
34,2.8,3.91596,41.77,57.03
35,2.68,3.95123,44.45,53.37
36,2.82,4.01768,44.58,53.99
37,2.51,17.18014,25.79,71.96
38,2.93,16.9325,21.67,76.23
39,2.81,16.66241,22.52,75.28
40,2.76,16.27066,21.15,76.69
41,2.53,15.80071,26.09,71.35
42,2.24,15.23205,28.09,69.29
43,2.3,14.65672,29.12,68.46
44,2.67,14.02792,28.09,69.79
45,3.03,13.3937,26.15,72.0
46,3.8,12.67705,27.45,70.88
47,3.56,12.05193,28.88,69.48
48,3.72,11.52037,27.87,70.62
49,4.38,11.08387,25.72,72.93
50,4.29,10.60772,27.56,71.05
51,4.71,10.12543,26.66,72.01
52,4.92,9.6653,28.21,70.46
53,4.47,9.44072,30.88,67.69
54,4.14,9.39877,32.54,65.95
55,4.06,9.45524,32.63,65.85
56,4.06,9.46678,33.44,65.0
57,1.11,30.03642,27.3,58.21
58,2.05,29.53175,45.09,45.64
59,1.31,28.81978,49.66,39.3
60,1.47,28.19836,48.51,41.31
61,1.69,27.53192,46.89,42.51
62,1.28,26.7738,42.33,44.83
63,1.44,25.93826,30.67,53.77
64,1.72,25.18395,28.38,57.89
65,2.14,24.60049,21.65,64.35
66,2.6,24.03018,15.51,67.67
67,1.67,23.39098,19.34,62.12
68,1.71,22.79138,17.99,64.76
69,1.56,22.21481,17.62,65.25
70,1.7,21.79696,21.35,62.03
71,1.32,21.34208,26.88,54.15
72,1.23,21.00354,33.52,47.37
73,1.2,20.6829,35.21,44.14
74,1.29,20.4029,34.12,46.28
75,1.07,20.06602,36.63,42.08
76,1.04,19.83011,37.46,41.22
77,4.5,7.81906,29.1,54.73
78,4.59,7.58481,29.47,54.85
79,4.03,7.30905,29.99,54.56
80,3.77,6.85732,28.25,54.71
81,3.74,6.25141,27.63,51.8
82,3.91,5.83896,33.07,51.42
83,4.02,5.64864,32.41,52.6
84,4.25,5.52054,31.29,54.31
85,4.51,5.38129,30.26,55.1
86,5.67,5.23754,26.19,59.96
87,5.57,4.85241,26.78,58.95
88,5.68,4.87683,26.89,60.32
89,6.13,5.0823,26.09,62.43
90,6.22,5.17482,26.82,63.6
91,6.33,5.19337,27.04,65.42
92,6.82,5.09639,25.93,66.71
93,5.59,5.20547,29.57,62.11
94,6.6,5.23692,25.84,63.2
95,5.94,5.32572,27.73,61.41
96,5.93,5.33443,27.66,62.36
97,0.95,20.67671,62.01,22.75
98,1.34,20.10868,50.88,28.82
99,1.17,19.45541,75.23,15.39
100,1.21,18.72933,76.43,16.8
101,1.29,18.04719,71.59,21.37
102,1.48,17.37245,62.94,25.22
103,1.59,16.72719,61.17,27.12
104,1.61,16.16016,58.23,29.35
105,1.49,15.70173,71.44,22.41
106,1.81,15.27704,73.63,21.46
107,1.69,15.08267,77.62,18.26
108,1.67,14.88892,78.42,17.84
109,1.58,14.581,78.59,17.28
110,1.38,14.23683,82.88,13.33
111,1.51,14.03153,82.48,14.79
112,1.61,13.88276,81.63,15.91
113,1.64,13.69299,80.65,16.45
114,1.37,13.42429,84.35,13.24
115,1.23,13.15354,84.28,12.34
116,1.41,12.87654,84.79,12.41
117,5.47,3.20857,21.0,71.84
118,5.47,3.08674,20.44,71.11
119,5.68,2.96692,19.92,71.94
120,5.64,2.92143,19.15,71.34
121,5.81,2.86615,19.22,71.69
122,5.74,2.83525,19.64,71.84
123,5.73,2.84715,19.75,71.67
124,5.88,2.89832,19.0,72.91
125,5.97,2.93214,19.04,72.33
126,6.25,2.91544,19.05,73.01
127,6.1,2.86057,19.75,72.36
128,6.26,2.73643,19.17,73.26
129,6.18,2.67292,19.93,71.23
130,5.94,2.56657,19.5,67.77
131,6.1,2.44471,19.4,67.51
132,6.38,2.34068,18.74,68.44
133,6.34,2.26658,18.46,68.53
134,6.37,2.24045,18.01,68.69
135,6.3,2.23449,17.82,68.78
136,7.1,2.21541,15.98,71.68
137,6.83,2.81144,17.82,74.16
138,6.83,2.78537,18.46,73.65
139,6.9,2.78091,18.61,73.44
140,6.98,2.73089,18.89,73.14
141,7.0,2.65434,19.3,72.05
142,6.99,2.61327,19.18,72.65
143,6.94,2.58008,18.81,72.85
144,6.94,2.51864,18.81,72.8
145,7.18,2.46819,18.24,73.79
146,7.45,2.46396,18.05,72.85
147,7.4,2.46837,18.6,72.4
148,7.29,2.46698,18.74,72.69
149,7.43,2.4526,18.67,72.87
150,7.42,2.44693,19.17,72.17
151,7.52,2.40594,19.1,72.52
152,7.51,2.3576,19.09,72.46
153,7.49,2.31083,19.24,72.36
154,7.45,2.26544,20.64,71.7
155,7.49,2.22262,19.59,72.59
156,7.62,2.18952,19.07,73.01
157,0.87,19.1726,68.61,29.4
158,0.79,18.73702,70.08,28.67
159,0.73,18.16166,72.29,26.88
160,0.78,17.53163,68.87,28.49
161,0.86,16.87904,65.78,32.43
162,0.92,16.13058,58.51,40.59
163,0.87,15.41358,56.39,41.9
164,0.91,14.65067,52.71,45.57
165,0.86,13.93027,54.17,44.55
166,1.13,13.23372,55.54,43.26
167,1.01,12.59253,57.92,40.59
168,0.95,12.02789,59.87,38.75
169,1.11,11.53454,60.63,37.56
170,1.06,11.08337,64.21,35.01
171,1.13,10.62689,65.58,33.4
172,1.3,10.19887,67.45,31.72
173,1.16,9.83128,70.67,28.82
174,1.0,9.52284,72.51,26.82
175,0.93,9.23718,73.23,26.11
176,1.28,8.9705,67.96,31.74
177,2.35,8.52261,25.79,66.03
178,2.46,8.17041,25.35,66.89
179,2.57,7.86561,25.72,66.72
180,2.49,7.57664,31.49,62.43
181,2.26,7.30297,30.9,64.97
182,2.15,7.00454,28.19,67.62
183,2.11,6.75064,27.09,68.94
184,2.16,6.50512,30.16,65.52
185,2.17,6.31318,27.22,66.07
186,2.59,6.19138,28.35,63.9
187,2.42,6.20381,28.46,62.97
188,2.24,6.28925,28.44,62.54
189,2.68,6.21603,26.8,65.35
190,2.81,6.05183,26.92,65.18
191,2.87,5.95594,26.18,65.06
192,3.24,5.88984,25.84,64.88
193,2.98,5.93035,27.99,61.36
194,2.75,6.00362,30.44,57.98
195,2.44,5.97815,30.0,58.83
196,2.37,5.90874,29.73,59.2
197,0.59,41.40262,61.1,28.69
198,0.46,40.28941,65.14,22.07
199,0.56,38.97208,62.29,24.71
200,0.58,37.8517,62.39,25.01
201,0.57,36.67568,62.51,24.43
202,0.54,35.56304,64.85,22.2
203,0.57,34.4124,65.08,23.09
204,0.59,33.2795,65.82,22.87
205,0.53,32.11366,67.16,21.34
206,0.52,30.82405,67.24,20.36
207,0.56,29.65639,67.21,21.03
208,0.58,28.79159,67.37,20.92
209,0.56,28.18036,67.47,20.47
210,0.52,27.91156,68.51,19.73
211,0.51,27.62674,69.93,19.03
212,0.47,26.96289,71.82,17.63
213,0.41,26.36471,73.15,16.42
214,0.41,25.74755,73.9,16.7
