,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic general government health expenditure (GGHE-D) per capita in PPP int$,per_capita-Parkinson's Disease,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
0,1.21,0.72,1.817789831970118e-05,0.08
1,5.46,6.0,1.7356259378978644e-05,0.65
2,3.6,4.95,1.7083283458447306e-05,0.54
3,3.37,5.36,1.6783937786727185e-05,0.53
4,2.72,5.33,1.6424602640619455e-05,0.5
5,2.61,6.06,1.6431103070337827e-05,0.56
6,3.0,8.03,1.6422599171203754e-05,0.63
7,2.51,8.02,1.6149625862319805e-05,0.53
8,2.26,7.87,1.5968007393221764e-05,0.47
9,2.19,8.02,1.589511722833783e-05,0.48
10,1.37,6.6,1.5844876424428094e-05,0.34
11,1.78,8.76,1.5783682668127724e-05,0.44
12,1.86,9.84,1.5774829455867684e-05,0.47
13,2.01,10.94,1.5692010604728326e-05,0.52
14,2.14,11.89,1.572061750585563e-05,0.6
15,2.32,13.24,1.5736350430296875e-05,0.64
16,1.9,11.44,1.6146609100732922e-05,0.55
17,3.87,23.38,1.5651002323726674e-05,1.08
18,8.17,105.46,3.7044635936716366e-05,2.77
19,8.42,115.8,3.772376104618859e-05,2.75
20,8.21,117.77,4.131660527277352e-05,2.59
21,9.0,130.03,4.593335103341896e-05,2.67
22,9.35,149.14,4.826571755033425e-05,2.82
23,9.23,152.51,4.926380370126562e-05,2.67
24,8.77,163.97,4.857309868756152e-05,2.56
25,8.31,173.45,4.880372379097967e-05,2.44
26,7.16,183.44,5.160648646619892e-05,2.27
27,7.15,203.05,5.331026574664548e-05,2.34
28,8.09,226.5,5.557504774097474e-05,2.38
29,8.18,239.54,5.877114216705897e-05,2.37
30,8.7,257.23,6.160795428623189e-05,2.46
31,8.83,271.68,6.475382753233126e-05,2.58
32,8.17,291.3,6.853830314392149e-05,2.59
33,8.88,317.36,7.2294454322119e-05,2.73
34,9.62,337.44,7.470560397341665e-05,2.8
35,9.18,341.45,7.710006637167415e-05,2.68
36,9.8,392.53,7.939666409338361e-05,2.82
37,8.79,212.08,1.9619294975212648e-05,2.51
38,9.36,256.72,2.001664296411113e-05,2.93
39,8.19,260.97,2.047107095956628e-05,2.81
40,8.58,276.71,2.063583838339031e-05,2.76
41,8.22,267.83,2.123910360907412e-05,2.53
42,8.27,255.68,2.1928251253288625e-05,2.24
43,7.96,270.49,2.257332781702692e-05,2.3
44,8.02,328.32,2.328945264750721e-05,2.67
45,7.97,382.48,2.3956409639561752e-05,3.03
46,8.92,483.32,2.4694111928929644e-05,3.8
47,9.54,465.61,2.5356945999015097e-05,3.56
48,9.27,502.19,2.631809356645201e-05,3.72
49,10.05,582.17,2.7198546337962863e-05,4.38
50,11.85,559.91,2.794612144128059e-05,4.29
51,11.61,613.04,2.8925499395434984e-05,4.71
