,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Medical doctors (per 10,000)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
0,35.98287,48.3,57.0,2.357733333333333,1.3,21.6
1,35.66648,47.1,58.0,2.357733333333333,1.4,21.2
2,35.32785,46.2,51.0,2.357733333333333,1.5,20.9
3,35.01817,45.5,47.0,2.357733333333333,1.6,20.6
4,34.56518,44.9,43.0,1.596,1.7,20.3
5,34.1208,44.5,39.0,1.743,1.8,20.0
6,33.69409,44.2,40.0,1.744,2.0,19.7
7,33.2445,43.9,44.0,2.126,2.1,19.3
8,32.64088,43.7,43.0,2.365,2.2,19.0
9,32.11355,43.5,44.0,2.518,2.4,18.7
10,31.6925,43.5,44.0,2.414,2.5,18.4
11,31.10597,43.5,43.0,2.846,2.7,18.0
12,30.69205,43.6,43.0,2.983,2.8,17.7
13,30.30055,43.7,39.0,2.85,3.0,17.4
14,29.88528,43.9,34.0,2.782,3.2,17.1
15,29.43246,44.2,30.0,2.409,2.041176470588236,19.647058823529413
16,28.91195,44.5,29.0,2.966,2.041176470588236,19.647058823529413
17,28.37778,44.9,26.0,2.125,2.041176470588236,19.647058823529413
18,6.38091,34.9,0.73,13.821,11.7,0.9
19,6.26195,33.4,0.65,13.1,12.1,0.9
20,6.13664,32.1,0.63,11.695,12.6,0.8
21,6.02551,30.9,0.6,11.863,13.2,0.8
22,5.92923,29.6,0.84,11.913,13.7,0.8
23,5.79962,28.3,0.39,13.2478,14.3,0.8
24,5.61353,27.1,0.35,11.838,14.9,0.7
25,5.36141,25.9,0.52,11.951,15.5,0.7
26,5.06642,24.8,0.53,13.2478,16.1,0.7
27,4.77487,23.8,0.17,12.297,16.8,0.6
28,4.51758,23.0,0.29,12.347,17.4,0.6
29,4.36331,22.9,0.29,12.217,18.1,0.6
30,4.25269,23.1,0.29,12.683,18.8,0.6
