,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
0,1.3,43.4,35.98287,21.6,15.2
1,1.4,42.9,35.66648,21.2,15.6
2,1.5,42.4,35.32785,20.9,16.1
3,1.6,41.9,35.01817,20.6,16.6
4,1.7,41.4,34.56518,20.3,17.1
5,1.8,40.9,34.1208,20.0,17.7
6,2.0,40.3,33.69409,19.7,18.2
7,2.1,39.8,33.2445,19.3,18.8
8,2.2,39.3,32.64088,19.0,19.3
9,2.4,38.8,32.11355,18.7,19.9
10,2.5,38.3,31.6925,18.4,20.5
11,2.7,37.9,31.10597,18.0,21.1
12,2.8,37.6,30.69205,17.7,21.7
13,3.0,37.3,30.30055,17.4,22.3
14,3.2,37.1,29.88528,17.1,23.0
15,2.041176470588236,36.9,29.43246,19.647058823529413,18.352941176470587
16,2.041176470588236,36.7,28.91195,19.647058823529413,18.352941176470587
17,2.041176470588236,36.5,28.37778,19.647058823529413,18.352941176470587
18,11.7,29.0,6.38091,0.9,46.0
19,12.1,28.2,6.26195,0.9,46.6
20,12.6,27.3,6.13664,0.8,47.3
21,13.2,26.6,6.02551,0.8,48.0
22,13.7,25.8,5.92923,0.8,48.7
23,14.3,25.0,5.79962,0.8,49.5
24,14.9,24.3,5.61353,0.7,50.2
25,15.5,23.5,5.36141,0.7,51.0
26,16.1,22.9,5.06642,0.7,51.8
27,16.8,22.3,4.77487,0.6,52.5
28,17.4,21.9,4.51758,0.6,53.3
29,18.1,21.9,4.36331,0.6,54.0
30,18.8,22.1,4.25269,0.6,54.8
31,19.5,22.3,4.12614,0.5,55.5
32,20.2,22.6,4.01272,0.5,56.3
33,20.9,23.0,3.93789,0.5,57.0
34,21.6,23.5,3.91596,0.5,57.7
35,16.31764705882353,24.0,3.95123,0.6764705882352942,51.7764705882353
36,16.31764705882353,24.2,4.01768,0.6764705882352942,51.7764705882353
37,10.3,37.1,17.18014,6.5,49.5
38,10.8,36.7,16.9325,6.3,50.2
39,11.3,36.3,16.66241,6.1,51.0
40,11.8,36.0,16.27066,5.9,51.9
41,12.3,35.7,15.80071,5.7,52.7
42,12.9,35.4,15.23205,5.5,53.5
43,13.4,35.1,14.65672,5.3,54.3
44,14.0,34.8,14.02792,5.1,55.0
45,14.6,34.5,13.3937,4.9,55.8
46,15.2,34.2,12.67705,4.7,56.6
47,15.8,34.0,12.05193,4.6,57.4
48,16.5,33.8,11.52037,4.4,58.2
49,17.1,33.6,11.08387,4.2,59.0
50,17.8,33.5,10.60772,4.1,59.8
51,18.5,33.5,10.12543,3.9,60.5
52,19.2,33.4,9.6653,3.8,61.3
53,19.9,33.3,9.44072,3.6,62.0
54,14.788235294117648,33.3,9.39877,4.976470588235294,55.80588235294118
55,14.788235294117648,33.2,9.45524,4.976470588235294,55.80588235294118
56,14.788235294117648,33.1,9.46678,4.976470588235294,55.80588235294118
57,1.4,53.9,30.03642,20.2,17.8
58,1.5,53.8,29.53175,19.9,18.3
59,1.6,53.7,28.81978,19.7,18.8
60,1.7,53.5,28.19836,19.5,19.4
61,1.9,53.3,27.53192,19.3,20.0
62,2.0,53.0,26.7738,19.0,20.5
63,2.1,52.7,25.93826,18.8,21.1
64,2.3,52.4,25.18395,18.6,21.7
65,2.4,52.1,24.60049,18.3,22.3
66,2.6,51.6,24.03018,18.1,22.9
67,2.8,51.2,23.39098,17.8,23.6
68,2.9,50.7,22.79138,17.6,24.2
69,3.1,50.4,22.21481,17.3,24.8
70,3.3,50.1,21.79696,17.0,25.5
71,3.6,49.8,21.34208,16.8,26.2
72,3.8,49.5,21.00354,16.5,26.8
73,4.0,49.2,20.6829,16.3,27.5
74,2.5294117647058822,48.9,20.4029,18.27647058823529,22.435294117647057
75,2.5294117647058822,48.6,20.06602,18.27647058823529,22.435294117647057
76,2.5294117647058822,48.3,19.83011,18.27647058823529,22.435294117647057
77,19.1,26.4,7.81906,0.9,54.4
78,19.6,26.1,7.58481,0.9,54.9
79,20.0,25.9,7.30905,0.9,55.5
80,20.5,25.7,6.85732,0.8,56.0
81,21.0,25.5,6.25141,0.8,56.6
82,21.5,25.0,5.83896,0.7,57.1
83,22.0,24.4,5.64864,0.7,57.6
84,22.5,23.9,5.52054,0.7,58.2
85,23.0,23.4,5.38129,0.6,58.7
86,23.6,22.9,5.23754,0.6,59.2
87,24.1,22.4,4.85241,0.6,59.7
88,24.6,22.0,4.87683,0.6,60.2
89,25.1,21.6,5.0823,0.5,60.7
90,25.7,21.4,5.17482,0.5,61.2
91,26.2,21.2,5.19337,0.5,61.8
92,26.8,20.9,5.09639,0.5,62.3
93,27.3,20.7,5.20547,0.4,62.7
94,23.094117647058823,20.6,5.23692,0.6588235294117647,58.63529411764706
95,23.094117647058823,20.5,5.32572,0.6588235294117647,58.63529411764706
96,23.094117647058823,20.6,5.33443,0.6588235294117647,58.63529411764706
97,10.9,24.7,20.67671,2.9,46.5
98,11.2,24.7,20.10868,2.8,47.0
99,11.5,24.7,19.45541,2.8,47.4
100,11.8,24.5,18.72933,2.7,47.8
101,12.1,24.1,18.04719,2.6,48.3
102,12.5,23.6,17.37245,2.6,48.8
103,12.8,23.1,16.72719,2.5,49.3
104,13.2,22.6,16.16016,2.4,49.8
105,13.6,22.0,15.70173,2.4,50.3
106,14.0,21.3,15.27704,2.3,50.8
107,14.4,20.6,15.08267,2.2,51.3
108,14.8,20.2,14.88892,2.2,51.8
109,15.2,20.0,14.581,2.1,52.3
110,15.7,19.6,14.23683,2.1,52.8
111,16.1,19.3,14.03153,2.0,53.4
112,16.6,18.9,13.88276,2.0,53.9
113,17.1,18.6,13.69299,1.9,54.4
114,13.735294117647058,18.4,13.42429,2.3823529411764706,50.34705882352941
115,13.735294117647058,18.2,13.15354,2.3823529411764706,50.34705882352941
