,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude",Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)"
0,15.2,4.2,35.98287,21.6,1.3
1,15.6,4.2,35.66648,21.2,1.4
2,16.1,4.2,35.32785,20.9,1.5
3,16.6,4.2,35.01817,20.6,1.6
4,17.1,4.2,34.56518,20.3,1.7
5,17.7,4.2,34.1208,20.0,1.8
6,18.2,4.2,33.69409,19.7,2.0
7,18.8,4.2,33.2445,19.3,2.1
8,19.3,4.1,32.64088,19.0,2.2
9,19.9,4.1,32.11355,18.7,2.4
10,20.5,4.1,31.6925,18.4,2.5
11,21.1,4.1,31.10597,18.0,2.7
12,21.7,4.1,30.69205,17.7,2.8
13,22.3,4.1,30.30055,17.4,3.0
14,23.0,4.1,29.88528,17.1,3.2
15,18.352941176470587,4.1,29.43246,19.647058823529413,2.041176470588236
16,18.352941176470587,4.1,28.91195,19.647058823529413,2.041176470588236
17,18.352941176470587,4.147058823529412,28.37778,19.647058823529413,2.041176470588236
18,46.0,5.0,6.38091,0.9,11.7
19,46.6,5.0,6.26195,0.9,12.1
20,47.3,5.0,6.13664,0.8,12.6
21,48.0,5.0,6.02551,0.8,13.2
22,48.7,5.0,5.92923,0.8,13.7
23,49.5,5.0,5.79962,0.8,14.3
24,50.2,5.0,5.61353,0.7,14.9
25,51.0,5.0,5.36141,0.7,15.5
26,51.8,5.0,5.06642,0.7,16.1
27,52.5,5.0,4.77487,0.6,16.8
28,53.3,5.0,4.51758,0.6,17.4
29,54.0,5.0,4.36331,0.6,18.1
30,54.8,5.0,4.25269,0.6,18.8
31,55.5,5.0,4.12614,0.5,19.5
32,56.3,5.0,4.01272,0.5,20.2
33,57.0,5.0,3.93789,0.5,20.9
34,57.7,5.0,3.91596,0.5,21.6
35,51.7764705882353,5.0,3.95123,0.6764705882352942,16.31764705882353
36,51.7764705882353,5.0,4.01768,0.6764705882352942,16.31764705882353
37,49.5,4.4,17.18014,6.5,10.3
38,50.2,4.4,16.9325,6.3,10.8
39,51.0,4.4,16.66241,6.1,11.3
40,51.9,4.4,16.27066,5.9,11.8
41,52.7,4.4,15.80071,5.7,12.3
42,53.5,4.4,15.23205,5.5,12.9
43,54.3,4.4,14.65672,5.3,13.4
44,55.0,4.4,14.02792,5.1,14.0
45,55.8,4.3,13.3937,4.9,14.6
46,56.6,4.3,12.67705,4.7,15.2
47,57.4,4.3,12.05193,4.6,15.8
48,58.2,4.3,11.52037,4.4,16.5
49,59.0,4.3,11.08387,4.2,17.1
50,59.8,4.3,10.60772,4.1,17.8
51,60.5,4.3,10.12543,3.9,18.5
52,61.3,4.3,9.6653,3.8,19.2
53,62.0,4.3,9.44072,3.6,19.9
54,55.80588235294118,4.3,9.39877,4.976470588235294,14.788235294117648
55,55.80588235294118,4.3,9.45524,4.976470588235294,14.788235294117648
56,55.80588235294118,4.342105263157895,9.46678,4.976470588235294,14.788235294117648
57,17.8,4.0,30.03642,20.2,1.4
58,18.3,4.0,29.53175,19.9,1.5
59,18.8,4.0,28.81978,19.7,1.6
60,19.4,4.0,28.19836,19.5,1.7
61,20.0,4.0,27.53192,19.3,1.9
62,20.5,4.0,26.7738,19.0,2.0
63,21.1,4.0,25.93826,18.8,2.1
64,21.7,4.0,25.18395,18.6,2.3
65,22.3,4.0,24.60049,18.3,2.4
66,22.9,4.0,24.03018,18.1,2.6
67,23.6,4.0,23.39098,17.8,2.8
68,24.2,4.0,22.79138,17.6,2.9
69,24.8,4.0,22.21481,17.3,3.1
70,25.5,4.0,21.79696,17.0,3.3
71,26.2,4.0,21.34208,16.8,3.6
72,26.8,4.0,21.00354,16.5,3.8
73,27.5,4.0,20.6829,16.3,4.0
74,22.435294117647057,4.0,20.4029,18.27647058823529,2.5294117647058822
75,22.435294117647057,4.0,20.06602,18.27647058823529,2.5294117647058822
76,22.435294117647057,4.0,19.83011,18.27647058823529,2.5294117647058822
77,54.4,4.9,7.81906,0.9,19.1
78,54.9,4.9,7.58481,0.9,19.6
79,55.5,4.9,7.30905,0.9,20.0
80,56.0,4.9,6.85732,0.8,20.5
81,56.6,4.9,6.25141,0.8,21.0
82,57.1,4.9,5.83896,0.7,21.5
83,57.6,4.9,5.64864,0.7,22.0
84,58.2,4.9,5.52054,0.7,22.5
85,58.7,4.9,5.38129,0.6,23.0
