,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
0,15.2,4.2,21.8,112.0,43.4,21.6,21.5
1,15.6,4.2,22.6,112.0,42.9,21.2,21.6
2,16.1,4.2,23.5,112.0,42.4,20.9,21.6
3,16.6,4.2,24.3,113.0,41.9,20.6,21.7
4,17.1,4.2,25.2,113.0,41.4,20.3,21.8
5,17.7,4.2,26.0,113.0,40.9,20.0,21.9
6,18.2,4.2,26.8,113.0,40.3,19.7,21.9
7,18.8,4.2,27.6,113.0,39.8,19.3,22.0
8,19.3,4.1,28.3,114.0,39.3,19.0,22.1
9,19.9,4.1,29.1,114.0,38.8,18.7,22.2
10,20.5,4.1,29.8,114.0,38.3,18.4,22.3
11,21.1,4.1,30.5,114.0,37.9,18.0,22.3
12,21.7,4.1,31.2,114.0,37.6,17.7,22.4
13,22.3,4.1,31.9,114.0,37.3,17.4,22.5
14,23.0,4.1,32.6,115.0,37.1,17.1,22.6
15,18.352941176470587,4.1,33.3,115.0,36.9,19.647058823529413,21.947058823529414
16,18.352941176470587,4.1,33.9,115.0,36.7,19.647058823529413,21.947058823529414
17,18.352941176470587,4.147058823529412,34.6,115.0,36.5,19.647058823529413,21.947058823529414
18,46.0,5.0,11.8,116.0,29.0,0.9,25.4
19,46.6,5.0,12.2,117.0,28.2,0.9,25.5
20,47.3,5.0,12.7,117.0,27.3,0.8,25.5
21,48.0,5.0,13.1,117.0,26.6,0.8,25.6
22,48.7,5.0,13.5,118.0,25.8,0.8,25.7
23,49.5,5.0,13.9,118.0,25.0,0.8,25.8
24,50.2,5.0,14.3,118.0,24.3,0.7,25.9
25,51.0,5.0,14.7,118.0,23.5,0.7,26.1
26,51.8,5.0,15.1,119.0,22.9,0.7,26.2
27,52.5,5.0,15.5,119.0,22.3,0.6,26.3
28,53.3,5.0,15.9,119.0,21.9,0.6,26.4
29,54.0,5.0,16.3,119.0,21.9,0.6,26.5
30,54.8,5.0,16.7,119.0,22.1,0.6,26.6
31,55.5,5.0,17.1,119.0,22.3,0.5,26.7
32,56.3,5.0,17.4,119.0,22.6,0.5,26.8
33,57.0,5.0,17.8,119.0,23.0,0.5,26.9
34,57.7,5.0,18.2,118.0,23.5,0.5,27.0
35,51.7764705882353,5.0,18.6,118.0,24.0,0.6764705882352942,26.170588235294115
36,51.7764705882353,5.0,18.9,118.0,24.2,0.6764705882352942,26.170588235294115
37,49.5,4.4,17.9,114.0,37.1,6.5,23.4
38,50.2,4.4,18.6,114.0,36.7,6.3,23.5
39,51.0,4.4,19.4,114.0,36.3,6.1,23.6
40,51.9,4.4,20.3,114.0,36.0,5.9,23.7
41,52.7,4.4,21.2,114.0,35.7,5.7,23.7
42,53.5,4.4,22.1,114.0,35.4,5.5,23.8
43,54.3,4.4,23.1,114.0,35.1,5.3,23.9
44,55.0,4.4,24.0,115.0,34.8,5.1,24.0
45,55.8,4.3,24.9,115.0,34.5,4.9,24.0
46,56.6,4.3,25.7,115.0,34.2,4.7,24.1
47,57.4,4.3,26.5,115.0,34.0,4.6,24.2
48,58.2,4.3,27.2,115.0,33.8,4.4,24.3
49,59.0,4.3,27.9,115.0,33.6,4.2,24.4
50,59.8,4.3,28.4,115.0,33.5,4.1,24.5
51,60.5,4.3,28.9,115.0,33.5,3.9,24.6
52,61.3,4.3,29.3,115.0,33.4,3.8,24.6
53,62.0,4.3,29.6,115.0,33.3,3.6,24.7
54,55.80588235294118,4.3,29.8,115.0,33.3,4.976470588235294,24.058823529411764
55,55.80588235294118,4.3,30.0,115.0,33.2,4.976470588235294,24.058823529411764
56,55.80588235294118,4.342105263157895,30.1,115.0,33.1,4.976470588235294,24.058823529411764
57,17.8,4.0,9.7,108.0,53.9,20.2,21.1
58,18.3,4.0,10.2,108.0,53.8,19.9,21.2
59,18.8,4.0,10.6,108.0,53.7,19.7,21.3
60,19.4,4.0,11.2,108.0,53.5,19.5,21.3
61,20.0,4.0,11.7,108.0,53.3,19.3,21.4
62,20.5,4.0,12.3,108.0,53.0,19.0,21.5
63,21.1,4.0,12.9,108.0,52.7,18.8,21.6
64,21.7,4.0,13.5,108.0,52.4,18.6,21.7
65,22.3,4.0,14.1,109.0,52.1,18.3,21.8
66,22.9,4.0,14.7,109.0,51.6,18.1,21.8
67,23.6,4.0,15.3,109.0,51.2,17.8,21.9
68,24.2,4.0,16.0,109.0,50.7,17.6,22.0
69,24.8,4.0,16.7,109.0,50.4,17.3,22.1
70,25.5,4.0,17.4,109.0,50.1,17.0,22.1
71,26.2,4.0,18.2,110.0,49.8,16.8,22.2
72,26.8,4.0,18.9,110.0,49.5,16.5,22.3
73,27.5,4.0,19.7,110.0,49.2,16.3,22.3
74,22.435294117647057,4.0,20.5,110.0,48.9,18.27647058823529,21.74117647058824
75,22.435294117647057,4.0,21.4,110.0,48.6,18.27647058823529,21.74117647058824
76,22.435294117647057,4.0,22.2,110.0,48.3,18.27647058823529,21.74117647058824
77,54.4,4.9,26.4,118.0,26.4,0.9,26.3
78,54.9,4.9,27.2,118.0,26.1,0.9,26.4
79,55.5,4.9,28.1,118.0,25.9,0.9,26.5
80,56.0,4.9,28.9,118.0,25.7,0.8,26.6
81,56.6,4.9,29.7,118.0,25.5,0.8,26.7
82,57.1,4.9,30.4,118.0,25.0,0.7,26.7
83,57.6,4.9,31.2,119.0,24.4,0.7,26.8
84,58.2,4.9,31.8,119.0,23.9,0.7,26.9
85,58.7,4.9,32.4,119.0,23.4,0.6,27.0
86,59.2,4.8,33.0,119.0,22.9,0.6,27.1
87,59.7,4.8,33.5,120.0,22.4,0.6,27.2
88,60.2,4.8,33.9,120.0,22.0,0.6,27.3
89,60.7,4.8,34.3,120.0,21.6,0.5,27.4
90,61.2,4.8,34.6,120.0,21.4,0.5,27.5
91,61.8,4.7,34.8,120.0,21.2,0.5,27.6
92,62.3,4.7,35.0,120.0,20.9,0.5,27.7
93,62.7,4.7,35.1,120.0,20.7,0.4,27.8
94,58.63529411764706,4.7,35.2,120.0,20.6,0.6588235294117647,27.029411764705884
95,58.63529411764706,4.7,35.2,120.0,20.5,0.6588235294117647,27.029411764705884
96,58.63529411764706,4.821052631578948,35.3,120.0,20.6,0.6588235294117647,27.029411764705884
97,46.5,4.5,14.5,119.0,24.7,2.9,24.5
98,47.0,4.5,15.0,119.0,24.7,2.8,24.6
99,47.4,4.5,15.6,119.0,24.7,2.8,24.6
100,47.8,4.5,16.1,119.0,24.5,2.7,24.7
101,48.3,4.5,16.7,119.0,24.1,2.6,24.7
102,48.8,4.5,17.2,119.0,23.6,2.6,24.8
103,49.3,4.5,17.8,119.0,23.1,2.5,24.8
104,49.8,4.5,18.3,119.0,22.6,2.4,24.9
105,50.3,4.5,18.8,120.0,22.0,2.4,25.0
106,50.8,4.5,19.3,120.0,21.3,2.3,25.1
107,51.3,4.5,19.7,120.0,20.6,2.2,25.1
108,51.8,4.5,20.1,120.0,20.2,2.2,25.2
109,52.3,4.5,20.5,120.0,20.0,2.1,25.3
110,52.8,4.5,20.8,121.0,19.6,2.1,25.3
111,53.4,4.5,21.1,121.0,19.3,2.0,25.4
112,53.9,4.5,21.4,121.0,18.9,2.0,25.5
113,54.4,4.5,21.7,121.0,18.6,1.9,25.6
114,50.34705882352941,4.5,21.9,121.0,18.4,2.3823529411764706,25.00588235294118
115,50.34705882352941,4.5,22.2,121.0,18.2,2.3823529411764706,25.00588235294118
116,50.34705882352941,4.5,22.5,121.0,18.1,2.3823529411764706,25.00588235294118
117,56.3,5.3,39.2,121.0,15.7,0.7,26.6
118,56.9,5.3,40.5,121.0,15.4,0.6,26.7
119,57.5,5.2,41.8,121.0,15.1,0.6,26.8
120,58.1,5.2,43.1,121.0,14.9,0.6,26.9
121,58.6,5.2,44.3,121.0,14.8,0.6,27.0
122,59.2,5.1,45.5,121.0,14.7,0.6,27.0
123,59.7,5.1,46.4,121.0,14.6,0.6,27.1
124,60.2,5.1,47.2,121.0,14.6,0.5,27.2
125,60.7,5.0,47.8,121.0,14.6,0.5,27.2
126,61.2,5.0,48.3,121.0,14.5,0.5,27.3
127,61.7,5.0,48.7,121.0,14.5,0.5,27.3
128,62.2,4.9,48.9,121.0,14.6,0.5,27.4
129,62.7,4.9,49.0,121.0,14.6,0.5,27.4
130,63.1,4.9,48.9,121.0,14.6,0.5,27.5
131,63.6,4.8,48.7,121.0,14.7,0.5,27.5
132,64.0,4.8,48.4,121.0,14.9,0.5,27.5
133,64.5,4.8,48.1,121.0,15.1,0.4,27.6
134,60.6,4.7,47.6,121.0,15.3,0.5411764705882353,27.176470588235293
135,60.6,4.7,47.2,121.0,15.5,0.5411764705882353,27.176470588235293
136,60.6,5.0,46.7,121.0,15.7,0.5411764705882353,27.176470588235293
137,47.5,5.6,35.1,120.0,17.9,1.1,25.7
138,47.9,5.5,36.5,120.0,17.6,1.1,25.8
139,48.4,5.5,37.9,120.0,17.4,1.1,25.9
140,48.8,5.5,39.3,120.0,17.3,1.0,25.9
141,49.3,5.4,40.7,120.0,17.2,1.0,26.0
142,49.7,5.4,42.1,120.0,17.1,1.0,26.1
143,50.2,5.4,43.4,120.0,17.0,0.9,26.1
144,50.6,5.3,44.6,120.0,16.9,0.9,26.2
145,51.0,5.3,45.7,120.0,16.9,0.9,26.2
146,51.4,5.3,46.8,120.0,16.9,0.9,26.3
147,51.8,5.3,47.8,120.0,16.8,0.8,26.3
148,52.2,5.2,48.7,120.0,16.9,0.8,26.4
149,52.6,5.2,49.6,120.0,16.9,0.8,26.4
150,53.0,5.2,50.4,120.0,17.0,0.8,26.4
151,53.4,5.2,51.2,120.0,17.1,0.8,26.5
152,53.9,5.1,51.8,120.0,17.3,0.7,26.5
153,54.3,5.1,52.5,120.0,17.4,0.7,26.5
154,50.94117647058823,5.1,53.1,120.0,17.6,0.9,26.188235294117646
155,50.94117647058823,5.1,53.7,120.0,17.7,0.9,26.188235294117646
156,50.94117647058823,5.3,54.3,120.0,17.8,0.9,26.188235294117646
157,43.7,4.4,16.6,113.0,38.7,2.5,24.8
158,44.2,4.4,17.3,113.0,38.6,2.4,24.8
159,44.7,4.4,18.1,113.0,38.5,2.4,24.9
160,45.3,4.4,18.9,113.0,38.4,2.3,25.0
161,45.8,4.4,19.7,113.0,38.3,2.2,25.0
162,46.4,4.4,20.6,113.0,38.0,2.2,25.1
163,47.0,4.4,21.5,114.0,37.5,2.1,25.2
164,47.7,4.4,22.4,114.0,36.8,2.0,25.3
165,48.3,4.4,23.3,114.0,36.3,2.0,25.3
166,48.9,4.4,24.2,114.0,35.8,1.9,25.4
167,49.6,4.4,25.1,114.0,35.5,1.9,25.5
168,50.2,4.4,26.0,114.0,35.3,1.8,25.6
169,50.9,4.4,26.9,114.0,35.2,1.7,25.7
170,51.6,4.4,27.7,114.0,35.2,1.7,25.8
171,52.2,4.5,28.5,114.0,35.2,1.6,25.9
172,52.9,4.5,29.4,114.0,35.2,1.6,26.0
173,53.6,4.5,30.2,114.0,35.1,1.5,26.1
174,48.41176470588236,4.5,30.9,114.0,35.1,1.9882352941176469,25.376470588235293
