,Mean hemoglobin level of women of reproductive age (aged 15-49 years),"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean BMI (kg/m²) (age-standardized estimate),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Maternal Disorders,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of pregnant women (aged 15-49 years)
0,123.0,29.5,21.5,21.6,9.59386,0.000190592509655,34.1,112.0
1,123.0,30.2,21.6,21.2,9.41968,0.0001880394737326,34.2,112.0
2,123.0,31.0,21.6,20.9,9.4241,0.0001867486954831,34.4,112.0
3,123.0,31.8,21.7,20.6,9.55693,0.0001874332961884,34.7,113.0
4,123.0,32.6,21.8,20.3,9.78268,0.0001798604468537,35.0,113.0
5,122.0,33.4,21.9,20.0,10.04326,0.0001822026762688,35.3,113.0
6,122.0,34.2,21.9,19.7,10.23361,0.0001811899952515,35.6,113.0
7,122.0,35.0,22.0,19.3,10.19123,0.0001759958140169,36.0,113.0
8,122.0,35.9,22.1,19.0,9.82583,0.0001696386161774,36.4,114.0
9,122.0,36.8,22.2,18.7,9.21902,0.0001632189944567,36.8,114.0
10,122.0,37.6,22.3,18.4,8.45282,0.0001556874164856,37.4,114.0
11,122.0,38.5,22.3,18.0,7.59035,0.0001486109266288,38.0,114.0
12,122.0,39.4,22.4,17.7,6.70168,0.0001404651148759,38.8,114.0
13,121.0,40.3,22.5,17.4,5.91332,0.0001326604419029,39.6,114.0
14,121.0,41.2,22.6,17.1,5.29697,0.0001263649636157,40.5,115.0
15,121.0,42.1,21.947058823529414,19.647058823529413,4.86943,0.0001208211784434,41.3,115.0
16,121.0,43.0,21.947058823529414,19.647058823529413,4.55533,0.0001202057904377,42.3,115.0
17,120.0,43.9,21.947058823529414,19.647058823529413,4.29955,0.0001128549060414,43.2,115.0
18,126.0,21.4,25.4,0.9,3.89859,2.532966559775478e-06,26.1,116.0
19,126.0,21.8,25.5,0.9,3.78719,1.918157341331623e-06,25.5,117.0
20,127.0,22.2,25.5,0.8,3.67789,1.9367158721612586e-06,24.9,117.0
21,127.0,22.6,25.6,0.8,3.57194,1.954610682273148e-06,24.6,117.0
22,127.0,23.0,25.7,0.8,3.46361,1.6416910731406206e-06,24.0,118.0
23,127.0,23.4,25.8,0.8,3.35452,1.9837773302523067e-06,23.5,118.0
24,127.0,23.8,25.9,0.7,3.24281,1.6634622838206003e-06,23.0,118.0
25,128.0,24.1,26.1,0.7,3.13393,1.6713604038006736e-06,22.5,118.0
26,128.0,24.5,26.2,0.7,3.02643,1.6755352748765884e-06,22.0,119.0
27,128.0,24.9,26.3,0.6,2.91963,1.3411387609218988e-06,21.5,119.0
28,128.0,25.3,26.4,0.6,2.81678,1.3391577768909575e-06,21.1,119.0
29,128.0,25.7,26.5,0.6,2.71469,1.3357077765240676e-06,21.3,119.0
30,128.0,26.1,26.6,0.6,2.61688,1.332063876459068e-06,21.6,119.0
31,128.0,26.4,26.7,0.5,2.52107,1.3282836416888465e-06,21.9,119.0
32,128.0,26.8,26.8,0.5,2.42743,9.933087412162536e-07,22.4,119.0
33,127.0,27.2,26.9,0.5,2.33726,9.90334990713959e-07,22.9,119.0
34,127.0,27.5,27.0,0.5,2.25042,9.872987309262114e-07,23.5,118.0
35,127.0,27.9,26.170588235294115,0.6764705882352942,2.16659,9.842561664469042e-07,24.2,118.0
36,127.0,28.2,26.170588235294115,0.6764705882352942,2.08356,9.842561664469042e-07,24.5,118.0
37,122.0,24.4,23.4,6.5,6.38065,3.3750445459871674e-05,37.7,114.0
38,123.0,25.1,23.5,6.3,6.08547,3.2162664180197983e-05,37.0,114.0
39,123.0,25.9,23.6,6.1,5.79904,3.136129747627783e-05,36.5,114.0
40,123.0,26.7,23.7,5.9,6.37498,2.9079204317357643e-05,36.0,114.0
41,123.0,27.5,23.7,5.7,5.29619,2.77383315070192e-05,35.6,114.0
42,123.0,28.4,23.8,5.5,5.08933,2.6903568764538986e-05,35.2,114.0
43,123.0,29.3,23.9,5.3,4.90858,2.630520862548701e-05,34.8,114.0
44,123.0,30.3,24.0,5.1,4.74624,2.5807231312102585e-05,34.4,115.0
45,123.0,31.2,24.0,4.9,4.5879,2.5229741672319668e-05,34.0,115.0
46,124.0,32.2,24.1,4.7,4.4312,2.4577078223105333e-05,33.6,115.0
47,124.0,33.2,24.2,4.6,4.27568,2.3390843002512216e-05,33.3,115.0
48,124.0,34.1,24.3,4.4,4.12504,2.231751473984693e-05,33.0,115.0
49,124.0,35.0,24.4,4.2,3.98061,2.1126181371543327e-05,32.8,115.0
50,124.0,35.9,24.5,4.1,3.84461,2.012902453462868e-05,32.7,115.0
51,124.0,36.7,24.6,3.9,3.72176,1.9099661814542945e-05,32.7,115.0
52,124.0,37.5,24.6,3.8,3.61643,1.8968208082388944e-05,32.7,115.0
53,124.0,38.3,24.7,3.6,3.53372,1.827512808516285e-05,32.8,115.0
