,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Mean total cholesterol,  age-standardized","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in non-pregnant women (aged 15-49) (%)
0,35.4,58.47403,0.000190592509655,4.3,29.5,112.0,34.1
1,35.4,57.19492,0.0001880394737326,4.3,30.2,112.0,34.2
2,35.5,55.93963,0.0001867486954831,4.3,31.0,112.0,34.4
3,35.6,54.58337,0.0001874332961884,4.2,31.8,113.0,34.7
4,35.8,53.18653,0.0001798604468537,4.2,32.6,113.0,35.0
5,36.0,51.7359,0.0001822026762688,4.2,33.4,113.0,35.3
6,36.2,50.29514,0.0001811899952515,4.2,34.2,113.0,35.6
7,36.5,48.86324,0.0001759958140169,4.2,35.0,113.0,36.0
8,36.8,47.42677,0.0001696386161774,4.2,35.9,114.0,36.4
9,37.1,45.99716,0.0001632189944567,4.2,36.8,114.0,36.8
10,37.5,44.60328,0.0001556874164856,4.2,37.6,114.0,37.4
11,38.0,43.22086,0.0001486109266288,4.2,38.5,114.0,38.0
12,38.7,41.86162,0.0001404651148759,4.2,39.4,114.0,38.8
13,39.4,40.54219,0.0001326604419029,4.2,40.3,114.0,39.6
14,40.2,39.32772,0.0001263649636157,4.1,41.2,115.0,40.5
15,40.9,38.18569,0.0001208211784434,4.1,42.1,115.0,41.3
16,41.8,37.19483,0.0001202057904377,4.1,43.0,115.0,42.3
17,42.6,36.12959,0.0001128549060414,4.2,43.9,115.0,43.2
18,26.2,12.11692,2.532966559775478e-06,5.1,21.4,116.0,26.1
19,25.6,11.76315,1.918157341331623e-06,5.1,21.8,117.0,25.5
20,25.0,11.38108,1.9367158721612586e-06,5.0,22.2,117.0,24.9
21,24.6,11.08866,1.954610682273148e-06,5.0,22.6,117.0,24.6
22,24.1,10.88263,1.6416910731406206e-06,5.0,23.0,118.0,24.0
23,23.5,10.55339,1.9837773302523067e-06,5.0,23.4,118.0,23.5
24,23.0,9.9656,1.6634622838206003e-06,5.0,23.8,118.0,23.0
25,22.5,9.17201,1.6713604038006736e-06,5.0,24.1,118.0,22.5
26,22.0,8.25555,1.6755352748765884e-06,5.0,24.5,119.0,22.0
27,21.5,7.3636,1.3411387609218988e-06,5.0,24.9,119.0,21.5
28,21.1,6.65341,1.3391577768909575e-06,5.0,25.3,119.0,21.1
29,21.3,6.21776,1.3357077765240676e-06,5.0,25.7,119.0,21.3
30,21.6,5.99431,1.332063876459068e-06,5.0,26.1,119.0,21.6
31,21.9,5.88589,1.3282836416888465e-06,5.0,26.4,119.0,21.9
32,22.4,5.87632,9.933087412162536e-07,5.0,26.8,119.0,22.4
33,22.9,5.99941,9.90334990713959e-07,4.9,27.2,119.0,22.9
34,23.5,6.30429,9.872987309262114e-07,4.9,27.5,118.0,23.5
35,24.2,6.72121,9.842561664469042e-07,4.9,27.9,118.0,24.2
36,24.5,7.14965,9.842561664469042e-07,4.9,28.2,118.0,24.5
37,37.6,21.13803,3.3750445459871674e-05,4.5,24.4,114.0,37.7
38,37.0,21.07526,3.2162664180197983e-05,4.5,25.1,114.0,37.0
39,36.5,20.94298,3.136129747627783e-05,4.5,25.9,114.0,36.5
40,36.0,20.78688,2.9079204317357643e-05,4.5,26.7,114.0,36.0
41,35.6,20.39815,2.77383315070192e-05,4.5,27.5,114.0,35.6
42,35.2,20.07498,2.6903568764538986e-05,4.5,28.4,114.0,35.2
43,34.8,19.77363,2.630520862548701e-05,4.4,29.3,114.0,34.8
44,34.4,19.41532,2.5807231312102585e-05,4.4,30.3,115.0,34.4
45,34.0,18.86842,2.5229741672319668e-05,4.4,31.2,115.0,34.0
46,33.7,18.15887,2.4577078223105333e-05,4.4,32.2,115.0,33.6
47,33.3,17.5108,2.3390843002512216e-05,4.4,33.2,115.0,33.3
48,33.1,17.13971,2.231751473984693e-05,4.4,34.1,115.0,33.0
49,32.9,16.88151,2.1126181371543327e-05,4.4,35.0,115.0,32.8
50,32.8,16.40704,2.012902453462868e-05,4.4,35.9,115.0,32.7
51,32.7,15.65133,1.9099661814542945e-05,4.3,36.7,115.0,32.7
52,32.8,15.06022,1.8968208082388944e-05,4.3,37.5,115.0,32.7
53,32.9,15.081,1.827512808516285e-05,4.3,38.3,115.0,32.8
54,33.0,15.55118,1.759975267406743e-05,4.3,39.0,115.0,33.0
55,33.1,16.04068,1.7466218890500908e-05,4.3,39.6,115.0,33.1
56,33.3,16.28817,1.6693138460739833e-05,4.405263157894737,40.3,115.0,33.3
57,51.8,50.27958,0.0001571456483901,4.1,22.9,108.0,51.4
58,51.5,49.2331,0.0001521776092728,4.1,23.5,108.0,51.1
59,51.3,47.95273,0.0001445577595043,4.1,24.1,108.0,50.9
60,50.9,46.54655,0.0001505527348229,4.1,24.7,108.0,50.5
61,50.5,45.10346,0.0001471856421698,4.1,25.4,108.0,50.1
62,50.1,43.48403,0.0001492935874307,4.1,26.0,108.0,49.6
63,49.6,41.95352,0.0001499775921636,4.1,26.7,108.0,49.1
64,49.2,40.45839,0.000147395592712,4.1,27.5,108.0,48.7
65,48.5,39.04709,0.000142528338453,4.1,28.3,109.0,48.0
66,47.7,37.70002,0.0001409553622438,4.1,29.1,109.0,47.1
67,46.9,36.34325,0.0001368313979005,4.1,30.0,109.0,46.3
68,46.3,35.05866,0.0001324044465095,4.1,30.9,109.0,45.7
69,45.9,33.82436,0.0001276025040219,4.1,31.9,109.0,45.3
70,45.6,32.6576,0.0001218942812998,4.1,32.9,109.0,45.0
71,45.3,31.65777,0.0001152550179677,4.1,33.9,110.0,44.6
72,45.0,30.83001,0.0001103674471673,4.1,34.9,110.0,44.4
73,44.8,29.99179,0.0001047474332665,4.1,35.9,110.0,44.3
74,44.7,29.22543,0.0001020799612211,4.1,37.0,110.0,44.2
75,44.6,28.55929,0.0001011151222682,4.1,38.0,110.0,44.1
76,44.5,27.90886,9.453930207605382e-05,4.1,39.1,110.0,44.0
77,16.2,11.03611,1.0686836271133018e-05,4.9,41.8,118.0,15.7
78,16.0,11.01931,1.1593305362251263e-05,4.9,42.5,118.0,15.5
79,15.9,10.75714,1.244754923808367e-05,4.9,43.2,118.0,15.4
80,15.9,10.29479,1.1998889841844196e-05,4.9,43.9,118.0,15.4
81,15.7,9.70986,1.156372780719301e-05,4.9,44.6,118.0,15.3
82,15.5,9.14462,1.0949111896860895e-05,4.9,45.3,118.0,15.0
83,15.0,8.72607,1.1359496458260463e-05,4.9,45.9,119.0,14.5
84,14.6,8.41192,1.166076919727165e-05,4.9,46.5,119.0,14.2
85,14.2,8.09858,1.081962353638654e-05,4.8,47.1,119.0,13.8
86,13.8,7.77659,1.195202062962756e-05,4.8,47.7,119.0,13.4
87,13.4,7.56004,1.064262079374601e-05,4.8,48.3,120.0,13.0
88,13.1,7.53877,1.000724735387312e-05,4.8,48.8,120.0,12.7
89,12.7,7.55501,9.267050709680698e-06,4.8,49.4,120.0,12.3
90,12.5,7.35898,9.011761757180896e-06,4.8,49.9,120.0,12.1
91,12.3,6.9204,9.18084204173002e-06,4.7,50.4,120.0,11.9
92,12.1,6.52495,9.163773861269858e-06,4.7,50.8,120.0,11.7
93,11.9,6.38856,8.62357519374299e-06,4.7,51.3,120.0,11.5
94,11.9,6.31188,8.546472097713037e-06,4.7,51.7,120.0,11.5
95,11.8,5.96595,8.501252668624608e-06,4.6,52.1,120.0,11.4
96,11.9,5.28919,8.377481401102432e-06,4.810526315789474,52.5,120.0,11.6
97,20.4,16.06744,5.258736404523039e-06,4.5,27.3,119.0,20.2
98,20.4,15.2827,2.9726614237727035e-06,4.5,27.9,119.0,20.3
99,20.5,14.52477,1.659025196611076e-06,4.5,28.6,119.0,20.4
100,20.5,13.809,3.331432196026801e-06,4.5,29.2,119.0,20.4
101,20.4,13.13283,3.008664955070604e-06,4.5,29.9,119.0,20.2
102,20.0,12.48723,3.017193982776516e-06,4.5,30.5,119.0,19.9
103,19.8,11.86489,3.6957745873163694e-06,4.5,31.1,119.0,19.6
104,19.4,11.27033,2.69210707855905e-06,4.5,31.6,119.0,19.3
105,19.0,10.70633,4.716049998214638e-06,4.5,32.2,120.0,18.9
106,18.5,10.14981,4.044483930591263e-06,4.5,32.7,120.0,18.4
107,18.0,9.63711,2.359442928783249e-06,4.5,33.1,120.0,18.0
108,17.7,9.1453,2.6954404939394704e-06,4.5,33.6,120.0,17.7
109,17.6,8.6718,2.356509605301473e-06,4.5,33.9,120.0,17.5
110,17.5,8.22813,3.026040083599401e-06,4.5,34.3,121.0,17.4
111,17.3,7.81272,3.021402608947582e-06,4.5,34.5,121.0,17.2
112,17.1,7.41939,3.0161373401489102e-06,4.4,34.8,121.0,17.0
113,17.0,7.04281,4.013828978774872e-06,4.4,35.0,121.0,17.0
114,17.1,6.69181,3.004118646664577e-06,4.4,35.2,121.0,17.0
115,17.1,6.35393,2.6703276859240685e-06,4.4,35.4,121.0,17.1
116,17.3,6.03795,2.657977737442965e-06,4.478947368421053,35.6,121.0,17.2
117,8.0,3.52327,8.922392297015313e-07,5.2,53.2,121.0,7.8
118,7.8,3.48768,8.810912429066972e-07,5.2,54.2,121.0,7.6
119,7.7,3.43655,8.702356772261064e-07,5.2,55.2,121.0,7.5
120,7.6,3.37321,6.576770643724192e-07,5.1,56.1,121.0,7.4
121,7.5,3.30247,7.501846954720252e-07,5.1,56.9,121.0,7.3
