,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized","Mean total cholesterol,  age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in women of reproductive age (aged 15-49) (%)
0,34.1,58.47403,0.000190592509655,21.8,4.3,112.0,35.4
1,34.2,57.19492,0.0001880394737326,22.6,4.3,112.0,35.4
2,34.4,55.93963,0.0001867486954831,23.5,4.3,112.0,35.5
3,34.7,54.58337,0.0001874332961884,24.3,4.2,113.0,35.6
4,35.0,53.18653,0.0001798604468537,25.2,4.2,113.0,35.8
5,35.3,51.7359,0.0001822026762688,26.0,4.2,113.0,36.0
6,35.6,50.29514,0.0001811899952515,26.8,4.2,113.0,36.2
7,36.0,48.86324,0.0001759958140169,27.6,4.2,113.0,36.5
8,36.4,47.42677,0.0001696386161774,28.3,4.2,114.0,36.8
9,36.8,45.99716,0.0001632189944567,29.1,4.2,114.0,37.1
10,37.4,44.60328,0.0001556874164856,29.8,4.2,114.0,37.5
11,38.0,43.22086,0.0001486109266288,30.5,4.2,114.0,38.0
12,38.8,41.86162,0.0001404651148759,31.2,4.2,114.0,38.7
13,39.6,40.54219,0.0001326604419029,31.9,4.2,114.0,39.4
14,40.5,39.32772,0.0001263649636157,32.6,4.1,115.0,40.2
15,41.3,38.18569,0.0001208211784434,33.3,4.1,115.0,40.9
16,42.3,37.19483,0.0001202057904377,33.9,4.1,115.0,41.8
17,43.2,36.12959,0.0001128549060414,34.6,4.2,115.0,42.6
18,26.1,12.11692,2.532966559775478e-06,11.8,5.1,116.0,26.2
19,25.5,11.76315,1.918157341331623e-06,12.2,5.1,117.0,25.6
20,24.9,11.38108,1.9367158721612586e-06,12.7,5.0,117.0,25.0
21,24.6,11.08866,1.954610682273148e-06,13.1,5.0,117.0,24.6
22,24.0,10.88263,1.6416910731406206e-06,13.5,5.0,118.0,24.1
23,23.5,10.55339,1.9837773302523067e-06,13.9,5.0,118.0,23.5
24,23.0,9.9656,1.6634622838206003e-06,14.3,5.0,118.0,23.0
25,22.5,9.17201,1.6713604038006736e-06,14.7,5.0,118.0,22.5
26,22.0,8.25555,1.6755352748765884e-06,15.1,5.0,119.0,22.0
27,21.5,7.3636,1.3411387609218988e-06,15.5,5.0,119.0,21.5
28,21.1,6.65341,1.3391577768909575e-06,15.9,5.0,119.0,21.1
29,21.3,6.21776,1.3357077765240676e-06,16.3,5.0,119.0,21.3
30,21.6,5.99431,1.332063876459068e-06,16.7,5.0,119.0,21.6
31,21.9,5.88589,1.3282836416888465e-06,17.1,5.0,119.0,21.9
32,22.4,5.87632,9.933087412162536e-07,17.4,5.0,119.0,22.4
33,22.9,5.99941,9.90334990713959e-07,17.8,4.9,119.0,22.9
34,23.5,6.30429,9.872987309262114e-07,18.2,4.9,118.0,23.5
35,24.2,6.72121,9.842561664469042e-07,18.6,4.9,118.0,24.2
36,24.5,7.14965,9.842561664469042e-07,18.9,4.9,118.0,24.5
37,37.7,21.13803,3.3750445459871674e-05,17.9,4.5,114.0,37.6
38,37.0,21.07526,3.2162664180197983e-05,18.6,4.5,114.0,37.0
39,36.5,20.94298,3.136129747627783e-05,19.4,4.5,114.0,36.5
40,36.0,20.78688,2.9079204317357643e-05,20.3,4.5,114.0,36.0
41,35.6,20.39815,2.77383315070192e-05,21.2,4.5,114.0,35.6
42,35.2,20.07498,2.6903568764538986e-05,22.1,4.5,114.0,35.2
43,34.8,19.77363,2.630520862548701e-05,23.1,4.4,114.0,34.8
44,34.4,19.41532,2.5807231312102585e-05,24.0,4.4,115.0,34.4
45,34.0,18.86842,2.5229741672319668e-05,24.9,4.4,115.0,34.0
46,33.6,18.15887,2.4577078223105333e-05,25.7,4.4,115.0,33.7
47,33.3,17.5108,2.3390843002512216e-05,26.5,4.4,115.0,33.3
48,33.0,17.13971,2.231751473984693e-05,27.2,4.4,115.0,33.1
49,32.8,16.88151,2.1126181371543327e-05,27.9,4.4,115.0,32.9
50,32.7,16.40704,2.012902453462868e-05,28.4,4.4,115.0,32.8
51,32.7,15.65133,1.9099661814542945e-05,28.9,4.3,115.0,32.7
52,32.7,15.06022,1.8968208082388944e-05,29.3,4.3,115.0,32.8
53,32.8,15.081,1.827512808516285e-05,29.6,4.3,115.0,32.9
54,33.0,15.55118,1.759975267406743e-05,29.8,4.3,115.0,33.0
55,33.1,16.04068,1.7466218890500908e-05,30.0,4.3,115.0,33.1
56,33.3,16.28817,1.6693138460739833e-05,30.1,4.405263157894737,115.0,33.3
57,51.4,50.27958,0.0001571456483901,9.7,4.1,108.0,51.8
58,51.1,49.2331,0.0001521776092728,10.2,4.1,108.0,51.5
59,50.9,47.95273,0.0001445577595043,10.6,4.1,108.0,51.3
60,50.5,46.54655,0.0001505527348229,11.2,4.1,108.0,50.9
61,50.1,45.10346,0.0001471856421698,11.7,4.1,108.0,50.5
62,49.6,43.48403,0.0001492935874307,12.3,4.1,108.0,50.1
63,49.1,41.95352,0.0001499775921636,12.9,4.1,108.0,49.6
64,48.7,40.45839,0.000147395592712,13.5,4.1,108.0,49.2
65,48.0,39.04709,0.000142528338453,14.1,4.1,109.0,48.5
66,47.1,37.70002,0.0001409553622438,14.7,4.1,109.0,47.7
67,46.3,36.34325,0.0001368313979005,15.3,4.1,109.0,46.9
68,45.7,35.05866,0.0001324044465095,16.0,4.1,109.0,46.3
69,45.3,33.82436,0.0001276025040219,16.7,4.1,109.0,45.9
70,45.0,32.6576,0.0001218942812998,17.4,4.1,109.0,45.6
71,44.6,31.65777,0.0001152550179677,18.2,4.1,110.0,45.3
72,44.4,30.83001,0.0001103674471673,18.9,4.1,110.0,45.0
73,44.3,29.99179,0.0001047474332665,19.7,4.1,110.0,44.8
74,44.2,29.22543,0.0001020799612211,20.5,4.1,110.0,44.7
75,44.1,28.55929,0.0001011151222682,21.4,4.1,110.0,44.6
76,44.0,27.90886,9.453930207605382e-05,22.2,4.1,110.0,44.5
77,15.7,11.03611,1.0686836271133018e-05,26.4,4.9,118.0,16.2
78,15.5,11.01931,1.1593305362251263e-05,27.2,4.9,118.0,16.0
79,15.4,10.75714,1.244754923808367e-05,28.1,4.9,118.0,15.9
80,15.4,10.29479,1.1998889841844196e-05,28.9,4.9,118.0,15.9
81,15.3,9.70986,1.156372780719301e-05,29.7,4.9,118.0,15.7
82,15.0,9.14462,1.0949111896860895e-05,30.4,4.9,118.0,15.5
83,14.5,8.72607,1.1359496458260463e-05,31.2,4.9,119.0,15.0
84,14.2,8.41192,1.166076919727165e-05,31.8,4.9,119.0,14.6
85,13.8,8.09858,1.081962353638654e-05,32.4,4.8,119.0,14.2
86,13.4,7.77659,1.195202062962756e-05,33.0,4.8,119.0,13.8
87,13.0,7.56004,1.064262079374601e-05,33.5,4.8,120.0,13.4
88,12.7,7.53877,1.000724735387312e-05,33.9,4.8,120.0,13.1
89,12.3,7.55501,9.267050709680698e-06,34.3,4.8,120.0,12.7
90,12.1,7.35898,9.011761757180896e-06,34.6,4.8,120.0,12.5
91,11.9,6.9204,9.18084204173002e-06,34.8,4.7,120.0,12.3
92,11.7,6.52495,9.163773861269858e-06,35.0,4.7,120.0,12.1
93,11.5,6.38856,8.62357519374299e-06,35.1,4.7,120.0,11.9
94,11.5,6.31188,8.546472097713037e-06,35.2,4.7,120.0,11.9
95,11.4,5.96595,8.501252668624608e-06,35.2,4.6,120.0,11.8
96,11.6,5.28919,8.377481401102432e-06,35.3,4.810526315789474,120.0,11.9
97,20.2,16.06744,5.258736404523039e-06,14.5,4.5,119.0,20.4
98,20.3,15.2827,2.9726614237727035e-06,15.0,4.5,119.0,20.4
99,20.4,14.52477,1.659025196611076e-06,15.6,4.5,119.0,20.5
100,20.4,13.809,3.331432196026801e-06,16.1,4.5,119.0,20.5
101,20.2,13.13283,3.008664955070604e-06,16.7,4.5,119.0,20.4
102,19.9,12.48723,3.017193982776516e-06,17.2,4.5,119.0,20.0
103,19.6,11.86489,3.6957745873163694e-06,17.8,4.5,119.0,19.8
104,19.3,11.27033,2.69210707855905e-06,18.3,4.5,119.0,19.4
105,18.9,10.70633,4.716049998214638e-06,18.8,4.5,120.0,19.0
106,18.4,10.14981,4.044483930591263e-06,19.3,4.5,120.0,18.5
107,18.0,9.63711,2.359442928783249e-06,19.7,4.5,120.0,18.0
108,17.7,9.1453,2.6954404939394704e-06,20.1,4.5,120.0,17.7
109,17.5,8.6718,2.356509605301473e-06,20.5,4.5,120.0,17.6
110,17.4,8.22813,3.026040083599401e-06,20.8,4.5,121.0,17.5
111,17.2,7.81272,3.021402608947582e-06,21.1,4.5,121.0,17.3
112,17.0,7.41939,3.0161373401489102e-06,21.4,4.4,121.0,17.1
113,17.0,7.04281,4.013828978774872e-06,21.7,4.4,121.0,17.0
114,17.0,6.69181,3.004118646664577e-06,21.9,4.4,121.0,17.1
115,17.1,6.35393,2.6703276859240685e-06,22.2,4.4,121.0,17.1
116,17.2,6.03795,2.657977737442965e-06,22.5,4.478947368421053,121.0,17.3
117,7.8,3.52327,8.922392297015313e-07,39.2,5.2,121.0,8.0
118,7.6,3.48768,8.810912429066972e-07,40.5,5.2,121.0,7.8
119,7.5,3.43655,8.702356772261064e-07,41.8,5.2,121.0,7.7
120,7.4,3.37321,6.576770643724192e-07,43.1,5.1,121.0,7.6
121,7.3,3.30247,7.501846954720252e-07,44.3,5.1,121.0,7.5
122,7.2,3.22555,6.91961278242276e-07,45.5,5.1,121.0,7.5
123,7.2,3.14199,8.784999437760036e-07,46.4,5.0,121.0,7.4
124,7.2,3.04978,6.747110212695902e-07,47.2,5.0,121.0,7.4
125,7.1,2.94752,5.712297290800202e-07,47.8,5.0,121.0,7.4
126,7.1,2.83669,8.465552725343607e-07,48.3,4.9,121.0,7.4
127,7.1,2.72225,8.830738629935999e-07,48.7,4.9,121.0,7.3
128,7.1,2.61315,8.728925158746989e-07,48.9,4.9,121.0,7.4
129,7.1,2.51802,8.630253416944439e-07,49.0,4.8,121.0,7.4
130,7.1,2.44021,4.941044357102751e-07,48.9,4.8,121.0,7.4
131,7.2,2.38303,5.775822725960848e-07,48.7,4.8,121.0,7.4
132,7.3,2.34794,5.274490183162825e-07,48.4,4.8,121.0,7.6
133,7.5,2.33158,6.088901263855839e-07,48.1,4.7,121.0,7.7
134,7.7,2.33245,5.595630793737645e-07,47.6,4.7,121.0,7.9
135,7.9,2.34303,5.595630793737645e-07,47.2,4.7,121.0,8.2
136,8.2,2.35634,5.483929345054319e-07,46.7,4.942105263157895,121.0,8.5
137,11.5,3.08639,3.69758078382057e-07,35.1,5.5,120.0,11.7
138,11.4,3.07628,6.148783340240466e-07,36.5,5.4,120.0,11.5
139,11.3,3.05158,2.454496096860307e-07,37.9,5.4,120.0,11.4
140,11.2,3.00342,2.4501828816502864e-07,39.3,5.4,120.0,11.4
141,11.2,2.93186,3.669831610999809e-07,40.7,5.3,120.0,11.4
142,11.2,2.84222,3.665379670411504e-07,42.1,5.3,120.0,11.3
143,11.2,2.75083,2.44114401773247e-07,43.4,5.3,120.0,11.3
144,11.2,2.67629,3.6586334052986523e-07,44.6,5.2,120.0,11.3
145,11.2,2.61621,2.437379753393229e-07,45.7,5.2,120.0,11.3
146,11.2,2.5612,2.435970218315305e-07,46.8,5.2,120.0,11.3
147,11.2,2.50646,2.434819872025868e-07,47.8,5.1,120.0,11.3
148,11.3,2.44984,3.650843101366876e-07,48.7,5.1,120.0,11.4
