,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
0,125.0,0.000190592509655,35.98287,34.1,123.0
1,124.0,0.0001880394737326,35.66648,34.2,123.0
2,124.0,0.0001867486954831,35.32785,34.4,123.0
3,124.0,0.0001874332961884,35.01817,34.7,123.0
4,124.0,0.0001798604468537,34.56518,35.0,123.0
5,124.0,0.0001822026762688,34.1208,35.3,122.0
6,124.0,0.0001811899952515,33.69409,35.6,122.0
7,124.0,0.0001759958140169,33.2445,36.0,122.0
8,123.0,0.0001696386161774,32.64088,36.4,122.0
9,123.0,0.0001632189944567,32.11355,36.8,122.0
10,123.0,0.0001556874164856,31.6925,37.4,122.0
11,123.0,0.0001486109266288,31.10597,38.0,122.0
12,123.0,0.0001404651148759,30.69205,38.8,122.0
13,122.0,0.0001326604419029,30.30055,39.6,121.0
14,122.0,0.0001263649636157,29.88528,40.5,121.0
15,122.0,0.0001208211784434,29.43246,41.3,121.0
16,121.0,0.0001202057904377,28.91195,42.3,121.0
17,121.0,0.0001128549060414,28.37778,43.2,120.0
18,127.0,2.532966559775478e-06,6.38091,26.1,126.0
19,127.0,1.918157341331623e-06,6.26195,25.5,126.0
20,127.0,1.9367158721612586e-06,6.13664,24.9,127.0
21,127.0,1.954610682273148e-06,6.02551,24.6,127.0
22,127.0,1.6416910731406206e-06,5.92923,24.0,127.0
23,128.0,1.9837773302523067e-06,5.79962,23.5,127.0
24,128.0,1.6634622838206003e-06,5.61353,23.0,127.0
25,128.0,1.6713604038006736e-06,5.36141,22.5,128.0
26,128.0,1.6755352748765884e-06,5.06642,22.0,128.0
27,128.0,1.3411387609218988e-06,4.77487,21.5,128.0
28,128.0,1.3391577768909575e-06,4.51758,21.1,128.0
29,128.0,1.3357077765240676e-06,4.36331,21.3,128.0
30,128.0,1.332063876459068e-06,4.25269,21.6,128.0
