,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),"Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Nursing and midwifery personnel (per 10,000)",Out-of-pocket expenditure (OOP) per capita in PPP int$,per_capita-Parkinson's Disease
0,0.08,2.357733333333333,28.2,3.563,69.39,1.817789831970118e-05
1,0.65,2.357733333333333,28.9,3.563,70.97,1.7356259378978644e-05
2,0.54,2.357733333333333,29.6,3.563,75.63,1.7083283458447306e-05
3,0.53,2.357733333333333,30.3,5.82,79.53,1.6783937786727185e-05
4,0.5,1.596,31.1,4.4,87.39,1.6424602640619455e-05
5,0.56,1.743,31.8,4.956,83.78,1.6431103070337827e-05
6,0.63,1.744,32.6,4.971,98.89,1.6422599171203754e-05
7,0.53,2.126,33.4,6.078,107.8,1.6149625862319805e-05
8,0.47,2.365,34.2,3.563,113.49,1.5968007393221764e-05
9,0.48,2.518,35.0,3.563,104.82,1.589511722833783e-05
10,0.34,2.414,35.8,3.563,113.16,1.5844876424428094e-05
11,0.44,2.846,36.7,2.495,125.41,1.5783682668127724e-05
12,0.47,2.983,37.5,1.476,144.87,1.5774829455867684e-05
13,0.52,2.85,38.4,1.299,165.85,1.5692010604728326e-05
14,0.6,2.782,39.2,1.482,177.89,1.572061750585563e-05
15,0.64,2.409,40.1,1.755,196.09,1.5736350430296875e-05
16,0.55,2.966,40.9,4.461,224.33,1.6146609100732922e-05
17,1.08,2.125,41.8,3.563,226.44,1.5651002323726674e-05
18,2.77,13.821,21.1,40.17,166.59,3.7044635936716366e-05
19,2.75,13.1,21.7,38.32,173.49,3.772376104618859e-05
20,2.59,11.695,22.3,36.69,187.68,4.131660527277352e-05
21,2.67,11.863,22.8,36.042,185.78,4.593335103341896e-05
22,2.82,11.913,23.4,35.866,188.57,4.826571755033425e-05
23,2.67,13.2478,24.1,36.076,190.42,4.926380370126562e-05
24,2.56,11.838,24.6,41.613,197.69,4.857309868756152e-05
25,2.44,11.951,25.2,42.011,251.8,4.880372379097967e-05
26,2.27,13.2478,25.8,40.339000000000006,220.27,5.160648646619892e-05
27,2.34,12.297,26.4,41.894,188.3,5.331026574664548e-05
28,2.38,12.347,27.0,40.183,213.93,5.557504774097474e-05
29,2.37,12.217,27.6,41.761,240.57,5.877114216705897e-05
30,2.46,12.683,28.1,44.192,266.85,6.160795428623189e-05
31,2.58,12.773,28.7,42.892,288.81,6.475382753233126e-05
32,2.59,13.2478,29.2,40.339000000000006,322.32,6.853830314392149e-05
33,2.73,13.2478,29.7,40.339000000000006,246.25,7.2294454322119e-05
34,2.8,12.164,30.1,36.495,247.11,7.470560397341665e-05
35,2.68,13.2478,30.6,40.339000000000006,284.42,7.710006637167415e-05
36,2.82,21.584,31.0,40.339000000000006,324.12,7.939666409338361e-05
37,2.51,13.7642,22.3,20.2648,76.02,1.9619294975212648e-05
38,2.93,13.7642,22.9,20.2648,72.97,2.001664296411113e-05
39,2.81,11.103,23.6,21.896,78.09,2.047107095956628e-05
40,2.76,13.7642,24.4,20.2648,76.3,2.063583838339031e-05
41,2.53,13.7642,25.2,20.2648,97.95,2.123910360907412e-05
42,2.24,10.242,26.1,20.2648,103.66,2.1928251253288625e-05
43,2.3,13.7642,27.0,20.2648,115.06,2.257332781702692e-05
44,2.67,11.958,27.9,19.293,132.14,2.328945264750721e-05
45,3.03,13.7642,28.9,20.2648,138.91,2.3956409639561752e-05
46,3.8,13.7642,29.9,20.2648,187.16,2.4694111928929644e-05
47,3.56,13.7642,30.9,20.2648,193.55,2.5356945999015097e-05
48,3.72,13.7642,31.8,20.2648,198.22,2.631809356645201e-05
49,4.38,13.7642,32.7,20.2648,205.28,2.7198546337962863e-05
50,4.29,13.7642,33.6,20.2648,217.21,2.794612144128059e-05
51,4.71,13.7642,34.4,20.2648,226.96,2.8925499395434984e-05
52,4.92,13.7642,35.3,20.2648,236.53,2.9912454760141414e-05
53,4.47,18.325,36.1,22.43,237.21,3.066550296121861e-05
54,4.14,13.7642,36.8,22.228,239.8,3.1487266164985585e-05
55,4.06,17.193,37.5,15.477,239.82,3.295613778421731e-05
56,4.06,13.7642,38.3,20.2648,250.98,3.356943047825894e-05
57,1.11,1.5550000000000002,21.1,9.024333333333333,17.12,9.067611422414915e-06
58,2.05,1.5550000000000002,21.6,9.024333333333333,68.42,9.078340694739256e-06
59,1.31,1.5550000000000002,22.2,9.024333333333333,62.59,9.053565683244915e-06
60,1.47,1.5550000000000002,22.7,9.024333333333333,66.07,9.1924025589043e-06
61,1.69,0.621,23.3,9.854,78.6,9.290788043943332e-06
62,1.28,1.5550000000000002,23.9,9.024333333333333,58.41,9.343544247369386e-06
63,1.44,1.5550000000000002,24.6,9.024333333333333,44.16,9.472268978759818e-06
64,1.72,1.5550000000000002,25.2,9.024333333333333,51.08,9.51969801217844e-06
65,2.14,1.5550000000000002,26.0,9.024333333333333,47.54,9.68820078373818e-06
66,2.6,1.313,26.7,13.144,38.56,9.900076834254843e-06
67,1.67,1.5550000000000002,27.5,9.024333333333333,34.35,1.0092195728513362e-05
68,1.71,1.5550000000000002,28.4,9.024333333333333,31.95,1.0316489375041891e-05
69,1.56,1.5550000000000002,29.3,9.024333333333333,31.29,1.05781589705668e-05
70,1.7,1.5550000000000002,30.2,9.024333333333333,44.82,1.071894033525398e-05
71,1.32,1.5550000000000002,31.1,9.024333333333333,53.51,1.0739672128811522e-05
72,1.23,1.5550000000000002,32.1,9.024333333333333,64.1,1.1006172016685356e-05
73,1.2,1.5550000000000002,33.1,9.024333333333333,67.86,1.1203464230114791e-05
74,1.29,2.146,34.0,9.024333333333333,69.64,1.1481583540001838e-05
75,1.07,2.14,35.0,4.075,69.05,1.2205212754707836e-05
76,1.04,1.5550000000000002,36.0,9.024333333333333,66.7,1.2200093598021449e-05
77,4.5,37.746,42.3,20.7174,310.78,5.573760972488173e-05
78,4.59,32.481,43.1,4.453,309.74,5.637476863794951e-05
79,4.03,37.746,43.8,20.7174,249.24,5.742188676003925e-05
80,3.77,37.746,44.5,20.7174,240.09,5.858588387996102e-05
81,3.74,31.857,45.2,4.854,243.96,5.805094606780599e-05
82,3.91,37.746,45.9,20.7174,341.49,5.760406888395116e-05
83,4.02,37.746,46.5,20.7174,370.25,5.826159516814478e-05
84,4.25,37.746,47.1,20.7174,406.15,6.01266214711566e-05
85,4.51,37.746,47.7,20.7174,430.97,5.92115014080332e-05
86,5.67,37.746,48.2,20.7174,404.49,5.968677786820143e-05
87,5.57,37.746,48.8,20.7174,455.68,6.153369840747692e-05
88,5.68,37.746,49.3,20.7174,488.7,6.231785852184626e-05
89,6.13,37.746,49.9,20.7174,503.28,6.26414706539286e-05
90,6.22,39.385,50.4,42.463,528.14,6.32700773368742e-05
91,6.33,37.746,50.9,20.7174,515.18,6.36848283401019e-05
92,6.82,39.9,51.4,20.7174,534.03,6.518252211370595e-05
93,5.59,40.013,51.9,25.821,541.56,6.766540747259711e-05
94,6.6,39.901,52.3,25.996,638.31,6.825872820898322e-05
95,5.94,37.746,52.7,20.7174,626.8,6.780653391809894e-05
96,5.93,40.685,53.2,20.7174,608.18,6.761982998290371e-05
97,0.95,27.007,27.6,59.089,69.17,3.0566405351290164e-05
98,1.34,26.187,28.3,54.519,70.81,3.2699275661499744e-05
99,1.17,25.633,29.1,51.295,198.42,3.517133416815481e-05
100,1.21,24.563,29.9,49.382,221.87,3.797832703470553e-05
101,1.29,24.604,30.6,48.609,200.04,4.011553273427471e-05
102,1.48,25.643,31.3,49.884,201.26,4.324644708646339e-05
103,1.59,25.897,31.9,51.117,229.46,4.636517209542356e-05
104,1.61,26.724,32.6,51.419,241.77,4.84579274140629e-05
105,1.49,27.432,33.1,51.981,393.71,5.0865967837886455e-05
106,1.81,27.679,33.7,51.799,449.71,5.15671701150386e-05
107,1.69,28.419,34.2,52.396,538.12,5.35930608109338e-05
108,1.67,28.677,34.7,52.988,590.07,5.458267000227428e-05
109,1.58,28.968,35.1,52.888,672.23,5.520965360992024e-05
110,1.38,29.031,35.5,52.009,841.52,5.446872150478921e-05
111,1.51,28.928,35.7,51.552,842.61,5.505666976304482e-05
112,1.61,29.143,36.0,49.535,823.4,5.6636356720573976e-05
113,1.64,28.150470588235294,36.1,51.903875,859.12,5.6528091451079455e-05
114,1.37,44.023,36.2,51.903875,1058.95,5.707825428662696e-05
115,1.23,28.150470588235294,36.3,51.903875,1098.28,5.674446332588646e-05
116,1.41,28.150470588235294,36.5,51.903875,1370.43,5.6149779703482647e-05
117,5.47,24.944,53.7,100.871,452.56,7.106423041269844e-05
118,5.47,25.732,54.8,105.956,465.87,7.344154654110529e-05
119,5.68,25.717,55.8,99.917,485.69,7.647835892798841e-05
120,5.64,26.406,56.8,99.864,490.48,7.85165233773842e-05
121,5.81,27.146,57.8,102.374,529.22,7.911947921578293e-05
122,5.74,27.794,58.6,97.628,558.23,7.977325022021668e-05
123,5.73,28.338,59.3,110.71036842105262,594.92,8.140766145657634e-05
124,5.88,29.954,60.0,101.586,604.45,8.395332850368759e-05
125,5.97,30.056,60.5,102.627,627.86,8.611288165881305e-05
126,6.25,31.085,61.0,107.496,677.1,8.639566864697893e-05
127,6.1,33.429,61.4,104.017,708.47,8.74707900081029e-05
128,6.26,32.878,61.7,108.124,721.03,8.949445373283755e-05
129,6.18,32.858,61.8,101.433,753.21,9.007259224105696e-05
130,5.94,33.53,61.9,119.398,811.69,9.073554183043236e-05
131,6.1,34.314,61.8,121.107,831.0,9.263531064329514e-05
132,6.38,34.886,61.7,122.016,823.14,9.450128244833396e-05
133,6.34,35.672,61.5,124.053,854.99,9.472590680484298e-05
134,6.37,36.778,61.2,125.508,849.19,9.628789296608548e-05
135,6.3,37.595,61.0,128.134,869.01,0.000100333964463
136,7.1,38.503,60.7,131.388,846.11,0.0001013683247397
137,6.83,38.492,45.4,56.942,482.63,8.479785264228506e-05
138,6.83,39.616,46.4,57.417,509.91,8.768165043182906e-05
139,6.9,40.337,47.4,58.43,546.45,9.400720050974976e-05
140,6.98,41.173,48.4,58.487,580.58,9.739476954559888e-05
141,7.0,42.095,49.5,60.964,634.71,9.553794960636163e-05
142,6.99,43.355,50.5,61.789,648.71,9.72547405882519e-05
143,6.94,44.684,51.6,63.42,675.34,9.788987511107204e-05
144,6.94,45.528,52.7,64.122,707.05,0.0001000026464114
145,7.18,46.169,53.9,65.626,734.28,0.0001017606047041
146,7.45,47.06,55.0,66.734,756.61,0.0001043813238548
147,7.4,48.016,56.2,67.211,800.45,0.0001061581464203
148,7.29,48.398,57.3,68.065,836.85,0.0001090385139608
149,7.43,48.859,58.5,68.288,887.13,0.000112412273717
150,7.42,49.744,59.5,68.74,948.1,0.0001144539670036
151,7.52,50.359,60.6,69.807,970.67,0.0001167448330074
152,7.51,51.035,61.6,70.138,993.62,0.0001209867950512
153,7.49,51.234,62.5,70.183,1053.9,0.0001220739043198
154,7.45,51.697,63.4,70.899,1164.27,0.0001224399175044
155,7.49,52.114,64.2,70.891,1155.69,0.0001236558054637
156,7.62,52.734,65.1,105.6,1169.9,0.0001264868129592
157,0.87,35.743,26.4,86.612,69.01,1.973277801121011e-05
158,0.79,35.48,27.1,85.509,73.33,2.027586902023016e-05
159,0.73,35.618,27.8,83.524,82.58,2.128487855929985e-05
160,0.78,35.505,28.6,82.922,87.48,2.285605579278653e-05
161,0.86,35.568,29.4,81.916,90.41,2.403348482439934e-05
162,0.92,35.819,30.2,82.422,89.08,2.5494482484100792e-05
163,0.87,35.649,31.1,82.576,107.55,2.7132572552442947e-05
164,0.91,37.124,32.0,82.338,123.39,2.8064218919543105e-05
165,0.86,36.844,33.0,81.608,137.72,2.91951928029679e-05
166,1.13,36.751,34.1,81.077,207.36,3.0412379924049424e-05
167,1.01,36.629,35.1,73.513,215.8,3.149970978339058e-05
168,0.95,34.376,36.3,69.594,217.47,3.277544489207993e-05
169,1.11,34.901,37.4,68.002,287.8,3.360158422516221e-05
170,1.06,34.558,38.5,66.417,336.26,3.451454767329718e-05
171,1.13,34.46,39.6,64.338,387.51,3.5514406563557884e-05
172,1.3,33.731,40.7,78.15786666666666,414.92,3.5375501749349235e-05
173,1.16,33.062,41.8,78.15786666666666,410.87,3.60587940663026e-05
174,1.0,32.37,42.9,78.15786666666666,382.95,3.613951297589213e-05
175,0.93,32.65,43.9,78.15786666666666,378.68,3.443292486314167e-05
176,1.28,31.678,45.0,78.15786666666666,411.81,3.3372745426674995e-05
177,2.35,10.202,24.9,29.807,387.5,1.0689291315256217e-05
178,2.46,10.636,25.4,31.049,402.17,8.92742893022619e-06
179,2.57,10.774,25.9,28.717,415.77,1.1191456442152062e-05
180,2.49,10.479,26.5,28.252,538.36,1.2804031733512248e-05
181,2.26,9.677,27.1,26.57185714285714,474.2,1.2969816877976426e-05
182,2.15,10.436,27.7,26.867,406.45,1.3100922960022532e-05
183,2.11,10.142,28.6,27.181,383.38,1.2190253282987588e-05
184,2.16,10.155,29.5,26.57185714285714,473.58,1.138971622522025e-05
185,2.17,9.896,30.4,25.624,427.85,1.1740353944578303e-05
186,2.59,9.695,31.3,25.23,534.76,1.1360011884320123e-05
187,2.42,9.493,32.2,24.595,512.65,1.1016202291370076e-05
188,2.24,9.451,33.1,24.973,481.89,1.1525432100798136e-05
189,2.68,9.57,34.0,24.802,557.79,1.1214821508105113e-05
190,2.81,9.536,34.9,25.042,597.23,1.092612999597294e-05
191,2.87,9.573,35.6,24.923,589.49,1.1414751968854468e-05
192,3.24,9.257,36.3,24.944,587.32,1.1881661620673496e-05
193,2.98,9.93575,36.9,26.57185714285714,609.01,1.2328632014991616e-05
194,2.75,9.93575,37.2,26.57185714285714,688.79,1.3466180750165492e-05
195,2.44,9.93575,37.4,26.57185714285714,588.76,1.417492710543736e-05
196,2.37,9.93575,37.5,26.57185714285714,559.14,1.4246792436445736e-05
197,0.59,4.030555555555555,28.5,2.5196875,17.26,1.5573121754388897e-05
198,0.46,2.498,29.3,2.5196875,19.05,1.5511884453326093e-05
199,0.56,4.030555555555555,30.0,2.5196875,20.63,1.605174668137261e-05
200,0.58,2.714,30.8,2.754,21.98,1.6503353102326015e-05
201,0.57,2.809,31.6,2.5196875,23.88,1.6530919804930914e-05
202,0.54,3.084,32.4,2.839,27.65,1.6837944242830045e-05
203,0.57,3.167,33.2,2.841,30.75,1.7369985691226875e-05
204,0.59,3.293,34.0,1.625,34.78,1.7522562935888025e-05
205,0.53,3.42,34.8,1.623,36.88,1.749620120258589e-05
206,0.52,3.544,35.7,1.714,39.77,1.7859427451088983e-05
207,0.56,3.635,36.5,1.83,43.95,1.856923214412358e-05
208,0.58,3.839,37.3,1.932,48.75,1.7109106176401203e-05
