,Deaths per 1 000 live births,per_capita-Neonatal Disorders,per_capita-Diarrheal Diseases,Maternal mortality ratio (per 100 000 live births),Mean hemoglobin level of children aged 6-59 months,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)
0,5.03069,0.0010159284151821,0.0004827524371943,1300.0,108.0,4.67688
1,5.05688,0.0009849077326854,0.0004938135732986,1240.0,109.0,4.55469
2,5.07586,0.000964291034397,0.0004770088579354,1180.0,109.0,4.47444
3,5.03886,0.0009388752528887,0.0004379012908518,1140.0,110.0,4.43099
4,4.9393,0.0008922683797748,0.0003813748541395,1120.0,110.0,4.44194
5,4.84366,0.000872309005223,0.0003403064013678,1090.0,110.0,4.45823
6,4.79075,0.0008587395153434,0.0002986747431685,1030.0,110.0,4.44936
7,4.76776,0.0008310737900279,0.0002583589059148,993.0,110.0,4.3568
8,4.69122,0.0008180083959439,0.0002365668880256,954.0,110.0,4.19799
9,4.5559,0.0008048709360167,0.0002154746124061,905.0,110.0,3.98301
10,4.38693,0.0007908302741544,0.0001975021111161,858.0,111.0,3.72923
11,4.22303,0.0007790259995507,0.0001924259153796,810.0,111.0,3.43614
12,4.2486,0.0007592972194066,0.0001807192115551,786.0,111.0,3.13687
13,4.20933,0.0007355591585421,0.0001691727718619,701.0,111.0,2.88431
14,4.06065,0.0007187082308593,0.0001612863353272,673.0,110.0,2.68362
15,3.92363,0.0007020111934975,0.0001561327282916,638.0,110.0,2.53144
16,4.659594444444444,0.0006986412115618,0.0001347113648567,1014.3333333333334,110.0,2.40851
17,4.659594444444444,0.0006624007251332,0.0001207363036401,1014.3333333333334,110.0,2.3167
18,2.62898,0.000225117403,4.749312299579021e-06,23.0,114.0,1.74888
19,2.47453,0.0002119563862171,4.156007572885184e-06,23.0,115.0,1.71246
20,2.31433,0.0001991589488539,3.5506457656289743e-06,21.0,115.0,1.677
21,2.16419,0.0001853622463689,3.257684470455245e-06,21.0,116.0,1.64106
22,2.01909,0.0001694225187481,3.283382146281241e-06,18.0,116.0,1.60437
23,1.87393,0.0001553958908697,2.97566599537846e-06,22.0,116.0,1.56735
24,1.73391,0.0001430577564085,2.66153965411296e-06,18.0,117.0,1.52899
25,1.61682,0.0001310346556579,2.674176646081077e-06,19.0,117.0,1.49114
26,1.50202,0.0001223140750659,2.345749384827224e-06,20.0,118.0,1.45245
27,1.29699,0.0001123203712272,2.346992831613323e-06,20.0,118.0,1.41424
28,1.21584,0.0001031151488206,2.3435261095591763e-06,21.0,118.0,1.37642
29,1.14989,9.784059463038796e-05,2.3374886089171184e-06,22.0,118.0,1.3398
30,1.075,8.958129569187231e-05,2.331111783803369e-06,17.0,118.0,1.30292
31,0.96207,8.069323123259741e-05,2.324496372955481e-06,16.0,118.0,1.2662
32,0.84415,7.218043519504775e-05,2.3177203961712583e-06,16.0,118.0,1.23036
33,0.75512,6.569222105069261e-05,2.310781644999237e-06,15.0,117.0,1.19465
34,0.6695,6.12125213174251e-05,2.303697038827826e-06,16.0,117.0,1.15943
35,0.61839,5.774302843155171e-05,2.296597721709443e-06,15.0,116.0,1.12625
36,1.495263888888889,5.511834532102663e-05,2.296597721709443e-06,19.05555555555556,116.0,1.09347
37,2.16266,0.000441023347684,4.098033640551117e-05,161.0,112.0,2.77721
38,2.07396,0.0004269893271777,3.715063022627098e-05,155.0,113.0,2.67061
39,1.96115,0.0004154892873384,3.3213594068563075e-05,148.0,113.0,2.56366
40,1.84775,0.0004081485286363,2.989833683333955e-05,145.0,113.0,2.75779
41,1.74229,0.0004011485161889,2.733407331241017e-05,134.0,113.0,2.37171
42,1.63745,0.0003945242515402,2.48765875562518e-05,127.0,113.0,2.29133
43,1.55879,0.0003883886685292,2.3119456715825955e-05,122.0,113.0,2.22145
44,1.50411,0.0003812336527974,2.1580959982246064e-05,119.0,114.0,2.1605
45,1.48525,0.0003748926403422,2.0225250659852504e-05,117.0,114.0,2.106
46,1.47436,0.0003676028699941,1.901797719645056e-05,117.0,114.0,2.05618
47,1.47605,0.0003581487914364,1.795514648276896e-05,115.0,114.0,2.01303
48,1.48215,0.0003481646601668,1.7202488954401858e-05,116.0,114.0,1.97799
49,1.50067,0.0003360700964438,1.6578968536224508e-05,116.0,114.0,1.94743
50,1.51404,0.0003282622336729,1.610880326835055e-05,115.0,114.0,1.91658
51,1.52583,0.00032163057677,1.581518239845825e-05,114.0,114.0,1.88141
52,1.53451,0.0003096048237217,1.550207509467183e-05,114.0,114.0,1.8415
53,1.53466,0.0002919971351509,1.5089802953627822e-05,113.0,114.0,1.79623
54,1.52627,0.0002675749955105,1.458188916546406e-05,112.0,114.0,1.74692
55,1.6412194444444443,0.0002493609874321,1.431482159833102e-05,125.55555555555556,114.0,1.69623
56,1.6412194444444443,0.000229098934737,1.3788846346097008e-05,125.55555555555556,114.0,1.64634
57,6.9953,0.0014601219853937,0.0026919767093275,827.0,99.0,14.68302
58,6.90101,0.0014545348235147,0.0024627691862652,766.0,100.0,14.35067
59,6.96144,0.0014409385779167,0.0022324895809171,690.0,101.0,13.96747
60,6.86886,0.0014223614384647,0.0020017723241658,628.0,102.0,13.53085
61,6.76636,0.0013976698284452,0.0018558523756649,574.0,102.0,13.02919
62,6.71455,0.0013669334406531,0.0016827858603197,519.0,103.0,12.50484
63,6.68344,0.0013317089269096,0.0016757364738465,473.0,104.0,11.93424
64,6.66952,0.0012937844613866,0.0015014288811153,431.0,104.0,11.37239
65,6.59256,0.0012556156631129,0.0013950388090071,395.0,104.0,10.80357
66,6.42773,0.0012239875481179,0.0013027655985369,359.0,105.0,10.24709
67,6.21239,0.0011951624115935,0.0012408706701546,326.0,105.0,9.71983
68,5.96755,0.0011584676604846,0.0011870802442762,300.0,105.0,9.21619
69,5.7166,0.0011245524497243,0.0011212294678488,281.0,105.0,8.73152
70,5.51147,0.0010889689284313,0.0010460931670902,269.0,105.0,8.29709
71,5.50086,0.0010502875455532,0.0009457721997143,258.0,105.0,7.91582
72,5.39173,0.001006606149026,0.0008691818623176,251.0,105.0,7.58647
73,5.17359,0.0009591850857897,0.0007784424725906,246.0,105.0,7.31203
74,4.9557,0.0009123517139013,0.0007270543929889,241.0,105.0,7.0708
75,6.222814444444444,0.0008980238554501,0.0006564764235812,435.22222222222223,105.0,6.83732
76,6.222814444444444,0.0008311142414022,0.0005910876808389,435.22222222222223,105.0,6.61655
77,1.75862,0.0001652040253642,2.035587861168194e-05,66.0,120.0,1.49906
78,1.52653,0.0001592288759364,1.976433065189289e-05,67.0,120.0,1.47597
79,1.2756,0.0001636339559458,1.997397435878542e-05,65.0,120.0,1.45844
80,1.11165,0.0001613589838296,1.919822374695072e-05,65.0,120.0,1.45492
81,1.166,0.0001487539360554,1.7706958204764296e-05,61.0,120.0,1.46763
82,1.19584,0.0001312106859248,1.6615085885446256e-05,59.0,120.0,1.48649
83,1.2633,0.0001229854816547,1.6231458272581064e-05,57.0,120.0,1.50169
84,1.20251,0.0001262209599404,1.623019267286204e-05,56.0,120.0,1.50529
85,1.00435,0.0001248703127315,1.6031816609851293e-05,53.0,120.0,1.49164
86,1.00795,0.0001185180941371,1.6131561586000385e-05,56.0,121.0,1.45888
87,1.02576,0.0001159561911027,1.661700110296252e-05,51.0,121.0,1.4127
88,0.94431,0.000110654299688,1.6997956031698363e-05,48.0,121.0,1.36031
89,0.98149,0.0001026722856121,1.7135748498974794e-05,47.0,121.0,1.3092
90,0.85681,0.0001004670627148,1.748375653411398e-05,44.0,121.0,1.26692
91,0.77422,9.799096214666776e-05,1.7803860769532138e-05,42.0,121.0,1.23595
