,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
0,21.5,6.15356,1300.0,0.0002398296141946,35.98287,48.3,3.1
1,21.6,6.00337,1240.0,0.0002269910788826,35.66648,47.1,3.1
2,21.6,5.91788,1180.0,0.0002181912764271,35.32785,46.2,3.1
3,21.7,5.8832,1140.0,0.0002051665517232,35.01817,45.5,3.1
4,21.8,5.9183,1120.0,0.0001916080886527,34.56518,44.9,3.1
5,21.9,5.96419,1090.0,0.0001823852440807,34.1208,44.5,3.1
6,21.9,5.95982,1030.0,0.0001728884616045,33.69409,44.2,3.1
7,22.0,5.85583,993.0,0.0001607589930947,33.2445,43.9,3.1
8,22.1,5.64427,954.0,0.0001516445605343,32.64088,43.7,3.1
9,22.2,5.3644,905.0,0.000143123264853,32.11355,43.5,3.1
10,22.3,5.02647,858.0,0.0001355032792977,31.6925,43.5,3.1
11,22.3,4.64107,810.0,0.0001300948345375,31.10597,43.5,3.1
12,22.4,4.23859,786.0,0.0001247531333462,30.69205,43.6,3.1
13,22.5,3.89578,701.0,0.0001195479398908,30.30055,43.7,3.1
14,22.6,3.62532,673.0,0.000115294528769,29.88528,43.9,3.1
15,21.947058823529414,3.41848,638.0,0.0001108577535899,29.43246,44.2,3.1
16,21.947058823529414,3.24387,1014.3333333333334,0.0001078687261339,28.91195,44.5,3.1
17,21.947058823529414,3.09418,1014.3333333333334,0.0001013681882645,28.37778,44.9,3.1
18,25.4,2.15349,23.0,6.6490372194106295e-06,6.38091,34.9,3.7
19,25.5,2.07484,23.0,6.074164914216807e-06,6.26195,33.4,3.7
20,25.5,1.99809,21.0,5.8101476164837765e-06,6.13664,32.1,3.7
21,25.6,1.92326,21.0,5.863832046819441e-06,6.02551,30.9,3.7
22,25.7,1.84943,18.0,5.58174964867811e-06,5.92923,29.6,3.7
23,25.8,1.77703,22.0,4.959443325630767e-06,5.79962,28.3,3.7
24,25.9,1.70584,18.0,4.3250019379335606e-06,5.61353,27.1,3.7
25,26.1,1.63665,19.0,4.0112649691216165e-06,5.36141,25.9,3.7
26,26.2,1.56821,20.0,3.686177604728496e-06,5.06642,24.8,3.7
27,26.3,1.50192,20.0,3.3528469023047468e-06,4.77487,23.8,3.7
28,26.4,1.43795,21.0,3.347894442227394e-06,4.51758,23.0,3.6
29,26.5,1.37641,22.0,3.6731963854411857e-06,4.36331,22.9,3.6
30,26.6,1.3162,17.0,3.663175660262437e-06,4.25269,23.1,3.6
31,26.7,1.25771,16.0,3.652780014644327e-06,4.12614,23.6,3.6
32,26.8,1.20149,16.0,3.642132051126263e-06,4.01272,24.4,3.6
33,26.9,1.14719,15.0,3.631228299284516e-06,3.93789,25.5,3.6
34,27.0,1.09514,16.0,3.620095346729441e-06,3.91596,26.9,3.6
35,26.170588235294115,1.04563,15.0,3.6089392769719818e-06,3.95123,28.4,3.6
36,26.170588235294115,0.99788,19.05555555555556,3.6089392769719818e-06,4.01768,29.6,3.6
37,23.4,3.57789,161.0,2.0539462913748584e-05,17.18014,39.9,3.7
38,23.5,3.40482,155.0,1.9466023335648527e-05,16.9325,39.3,3.6
39,23.6,3.23402,148.0,1.868264666356673e-05,16.66241,38.8,3.6
40,23.7,3.38432,145.0,1.783188477099071e-05,16.27066,38.3,3.6
41,23.7,2.92797,134.0,1.722761844718457e-05,15.80071,37.9,3.6
42,23.8,2.79704,127.0,1.6584391704167866e-05,15.23205,37.4,3.6
43,23.9,2.68102,122.0,1.5898419053927557e-05,14.65672,36.9,3.6
44,24.0,2.57741,119.0,1.537643398735032e-05,14.02792,36.3,3.6
45,24.0,2.48293,117.0,1.5013473037401493e-05,13.3937,35.8,3.5
46,24.1,2.39522,117.0,1.47462469338632e-05,12.67705,35.2,3.5
47,24.2,2.31646,115.0,1.4427726400807908e-05,12.05193,34.7,3.5
48,24.3,2.24824,116.0,1.4116328145306509e-05,11.52037,34.3,3.5
49,24.4,2.18605,116.0,1.3811099853856534e-05,11.08387,34.1,3.5
50,24.5,2.12419,115.0,1.3596164976926722e-05,10.60772,33.9,3.4
51,24.6,2.05883,114.0,1.3331122335873184e-05,10.12543,33.9,3.4
52,24.6,1.98894,114.0,1.3018467993236728e-05,9.6653,33.9,3.4
53,24.7,1.91478,113.0,1.2633323403037246e-05,9.44072,34.0,3.4
54,24.058823529411764,1.83758,112.0,1.2338521601546514e-05,9.39877,34.0,3.3
55,24.058823529411764,1.76095,125.55555555555556,1.2098160791126777e-05,9.45524,34.1,3.3
56,24.058823529411764,1.68646,125.55555555555556,1.1643333252396903e-05,9.46678,34.3,3.5052631578947366
57,21.1,29.61305,827.0,0.0014125761620222,30.03642,72.8,2.8
58,21.2,28.69999,766.0,0.001392140465011,29.53175,71.5,2.8
59,21.3,27.65824,690.0,0.0013444919153903,28.81978,70.3,2.8
60,21.3,26.48584,628.0,0.0012948259006003,28.19836,68.9,2.8
61,21.4,25.15818,574.0,0.001273466661963,27.53192,67.5,2.8
62,21.5,23.79294,519.0,0.0012032860026394,26.7738,66.2,2.8
63,21.6,22.33381,473.0,0.0011559457136371,25.93826,64.9,2.8
64,21.7,20.92458,431.0,0.0011078628424911,25.18395,63.7,2.9
65,21.8,19.52619,395.0,0.0010571317547486,24.60049,62.6,2.9
66,21.8,18.18634,359.0,0.0009840917838537,24.03018,61.7,2.9
67,21.9,16.94307,326.0,0.000924492069177,23.39098,61.0,2.9
68,22.0,15.77986,300.0,0.0008621963247307,22.79138,60.6,2.9
69,22.1,14.6834,281.0,0.0008116383231081,22.21481,60.5,2.9
70,22.1,13.72017,269.0,0.0007675084464172,21.79696,60.7,2.9
71,22.2,12.89033,258.0,0.000711333015439,21.34208,61.1,2.8
72,22.3,12.18543,251.0,0.0006700007215157,21.00354,61.4,2.8
73,22.3,11.60665,246.0,0.0006250640729093,20.6829,61.9,2.8
74,21.74117647058824,11.10446,241.0,0.0005904814392,20.4029,62.1,2.8
75,21.74117647058824,10.62434,435.22222222222223,0.0005719565313036,20.06602,62.3,2.8
76,21.74117647058824,10.17578,435.22222222222223,0.0005369868912507,19.83011,62.4,2.8368421052631576
77,26.3,1.29985,66.0,2.7989333091062662e-05,7.81906,21.7,3.8
78,26.4,1.27164,67.0,2.671500800866596e-05,7.58481,21.1,3.8
79,26.5,1.24825,65.0,2.6342487922456137e-05,7.30905,20.7,3.8
80,26.6,1.23701,65.0,2.5275922297276147e-05,6.85732,20.4,3.8
81,26.7,1.23947,61.0,2.338557453865372e-05,6.25141,20.1,3.8
82,26.7,1.24709,59.0,2.197479100978376e-05,5.83896,19.9,3.7
83,26.8,1.25109,57.0,2.105293343597606e-05,5.64864,19.6,3.7
84,26.9,1.24547,56.0,2.0849555202830467e-05,5.52054,19.4,3.7
85,27.0,1.22573,53.0,1.9663060125487872e-05,5.38129,19.2,3.7
86,27.1,1.19067,56.0,1.913789806339137e-05,5.23754,19.1,3.7
87,27.2,1.145,51.0,1.8382708643743107e-05,4.85241,18.8,3.6
88,27.3,1.09479,48.0,1.807529127314404e-05,4.87683,18.7,3.6
89,27.4,1.04649,47.0,1.7657168232000305e-05,5.0823,18.5,3.6
90,27.5,1.00542,44.0,1.7671501570721914e-05,5.17482,18.4,3.6
91,27.6,0.97408,42.0,1.7292522731764897e-05,5.19337,18.3,3.5
92,27.7,0.94682,41.0,1.703817250587863e-05,5.09639,18.3,3.5
93,27.8,0.91881,40.0,1.736121884242967e-05,5.20547,18.3,3.5
94,27.029411764705884,0.88808,39.0,1.6979895622705002e-05,5.23692,18.5,3.4
95,27.029411764705884,0.85508,53.16666666666666,1.6595530475453355e-05,5.32572,18.6,3.4
96,27.029411764705884,0.81988,53.16666666666666,1.6154984028120606e-05,5.33443,19.0,3.642105263157895
97,24.5,1.0037,43.0,4.502793046372852e-05,20.67671,28.9,3.3
98,24.6,0.98342,42.0,4.7232287066610735e-05,20.10868,28.5,3.3
99,24.6,0.97072,39.0,5.109797605562114e-05,19.45541,28.3,3.3
100,24.7,0.9646,38.0,5.163719903841541e-05,18.72933,27.9,3.2
101,24.7,0.96438,36.0,5.148160034231921e-05,18.04719,27.6,3.2
102,24.8,0.9685,35.0,5.229802903479294e-05,17.37245,26.9,3.2
103,24.8,0.97658,36.0,5.5436618809745554e-05,16.72719,26.3,3.2
104,24.9,0.98661,32.0,5.417865495600088e-05,16.16016,25.5,3.2
105,25.0,0.99827,36.0,5.423457497946834e-05,15.70173,24.6,3.2
106,25.1,1.01062,32.0,5.055604913239079e-05,15.27704,23.6,3.2
107,25.1,1.02239,32.0,4.6514732024584045e-05,15.08267,22.5,3.2
108,25.2,1.03145,30.0,4.27901178412891e-05,14.88892,21.6,3.2
109,25.3,1.03749,30.0,3.938737483146748e-05,14.581,21.0,3.2
110,25.3,1.04079,26.0,3.4295120947459875e-05,14.23683,20.3,3.2
111,25.4,1.04063,27.0,3.0549737490469994e-05,14.03153,19.8,3.2
112,25.5,1.03775,28.0,2.815061517472316e-05,13.88276,19.3,3.2
113,25.6,1.03232,26.0,2.608988836203667e-05,13.69299,19.1,3.2
114,25.00588235294118,1.02555,26.0,2.5368113016278653e-05,13.42429,19.1,3.2
115,25.00588235294118,1.01698,33.0,2.470053109479764e-05,13.15354,19.3,3.2
116,25.00588235294118,1.00826,33.0,2.425404685416706e-05,12.87654,19.6,3.2157894736842105
117,26.6,0.62788,7.0,4.303742166795621e-06,3.20857,11.8,3.9
118,26.7,0.60449,6.0,4.353627317891916e-06,3.08674,11.7,3.8
119,26.8,0.58227,6.0,4.146417050312624e-06,2.96692,11.6,3.8
120,26.9,0.56185,6.0,3.946062386234515e-06,2.92143,11.6,3.8
121,27.0,0.54351,5.0,3.850948103423063e-06,2.86615,11.6,3.7
122,27.0,0.5275,5.0,3.608083807977582e-06,2.83525,11.6,3.7
123,27.1,0.5138,5.0,3.709221984832015e-06,2.84715,11.6,3.6
