,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
0,123.0,48.3,34.1,125.0
1,123.0,47.1,34.2,124.0
2,123.0,46.2,34.4,124.0
3,123.0,45.5,34.7,124.0
4,123.0,44.9,35.0,124.0
5,122.0,44.5,35.3,124.0
6,122.0,44.2,35.6,124.0
7,122.0,43.9,36.0,124.0
8,122.0,43.7,36.4,123.0
9,122.0,43.5,36.8,123.0
10,122.0,43.5,37.4,123.0
11,122.0,43.5,38.0,123.0
12,122.0,43.6,38.8,123.0
13,121.0,43.7,39.6,122.0
14,121.0,43.9,40.5,122.0
15,121.0,44.2,41.3,122.0
16,121.0,44.5,42.3,121.0
17,120.0,44.9,43.2,121.0
18,126.0,34.9,26.1,127.0
19,126.0,33.4,25.5,127.0
20,127.0,32.1,24.9,127.0
21,127.0,30.9,24.6,127.0
22,127.0,29.6,24.0,127.0
23,127.0,28.3,23.5,128.0
24,127.0,27.1,23.0,128.0
25,128.0,25.9,22.5,128.0
26,128.0,24.8,22.0,128.0
27,128.0,23.8,21.5,128.0
28,128.0,23.0,21.1,128.0
29,128.0,22.9,21.3,128.0
30,128.0,23.1,21.6,128.0
31,128.0,23.6,21.9,128.0
32,128.0,24.4,22.4,128.0
33,127.0,25.5,22.9,128.0
34,127.0,26.9,23.5,128.0
35,127.0,28.4,24.2,127.0
36,127.0,29.6,24.5,127.0
37,122.0,39.9,37.7,123.0
38,123.0,39.3,37.0,123.0
39,123.0,38.8,36.5,123.0
40,123.0,38.3,36.0,123.0
41,123.0,37.9,35.6,123.0
42,123.0,37.4,35.2,124.0
43,123.0,36.9,34.8,124.0
44,123.0,36.3,34.4,124.0
45,123.0,35.8,34.0,124.0
46,124.0,35.2,33.6,124.0
47,124.0,34.7,33.3,124.0
48,124.0,34.3,33.0,124.0
49,124.0,34.1,32.8,124.0
50,124.0,33.9,32.7,124.0
51,124.0,33.9,32.7,124.0
52,124.0,33.9,32.7,124.0
53,124.0,34.0,32.8,124.0
54,124.0,34.0,33.0,124.0
55,124.0,34.1,33.1,124.0
56,124.0,34.3,33.3,124.0
57,117.0,72.8,51.4,118.0
58,117.0,71.5,51.1,118.0
59,117.0,70.3,50.9,119.0
60,117.0,68.9,50.5,119.0
61,117.0,67.5,50.1,119.0
62,118.0,66.2,49.6,119.0
63,118.0,64.9,49.1,119.0
64,118.0,63.7,48.7,119.0
65,118.0,62.6,48.0,120.0
66,119.0,61.7,47.1,120.0
67,119.0,61.0,46.3,120.0
68,119.0,60.6,45.7,121.0
69,119.0,60.5,45.3,121.0
70,119.0,60.7,45.0,121.0
71,120.0,61.1,44.6,121.0
72,120.0,61.4,44.4,121.0
73,120.0,61.9,44.3,121.0
74,120.0,62.1,44.2,121.0
75,120.0,62.3,44.1,121.0
76,120.0,62.4,44.0,121.0
77,130.0,21.7,15.7,131.0
78,130.0,21.1,15.5,131.0
79,130.0,20.7,15.4,131.0
80,130.0,20.4,15.4,131.0
81,130.0,20.1,15.3,131.0
82,130.0,19.9,15.0,131.0
83,130.0,19.6,14.5,131.0
84,131.0,19.4,14.2,131.0
85,131.0,19.2,13.8,131.0
86,131.0,19.1,13.4,132.0
87,131.0,18.8,13.0,132.0
88,131.0,18.7,12.7,132.0
89,132.0,18.5,12.3,132.0
90,132.0,18.4,12.1,132.0
91,132.0,18.3,11.9,132.0
92,132.0,18.3,11.7,133.0
93,132.0,18.3,11.5,133.0
94,132.0,18.5,11.5,133.0
95,132.0,18.6,11.4,133.0
96,132.0,19.0,11.6,133.0
97,129.0,28.9,20.2,129.0
98,129.0,28.5,20.3,129.0
99,129.0,28.3,20.4,129.0
100,129.0,27.9,20.4,129.0
101,129.0,27.6,20.2,129.0
102,129.0,26.9,19.9,130.0
103,129.0,26.3,19.6,130.0
104,129.0,25.5,19.3,130.0
105,130.0,24.6,18.9,130.0
106,130.0,23.6,18.4,130.0
107,130.0,22.5,18.0,130.0
108,130.0,21.6,17.7,130.0
109,130.0,21.0,17.5,130.0
110,130.0,20.3,17.4,131.0
111,130.0,19.8,17.2,131.0
112,130.0,19.3,17.0,131.0
113,130.0,19.1,17.0,131.0
114,130.0,19.1,17.0,131.0
115,130.0,19.3,17.1,131.0
116,130.0,19.6,17.2,131.0
117,133.0,11.8,7.8,134.0
118,133.0,11.7,7.6,134.0
119,133.0,11.6,7.5,134.0
120,133.0,11.6,7.4,134.0
121,133.0,11.6,7.3,134.0
122,133.0,11.6,7.2,134.0
123,133.0,11.6,7.2,134.0
124,133.0,11.7,7.2,134.0
125,133.0,11.6,7.1,134.0
126,133.0,11.6,7.1,134.0
127,133.0,11.6,7.1,134.0
128,133.0,11.6,7.1,134.0
129,133.0,11.5,7.1,134.0
130,133.0,11.5,7.1,134.0
131,133.0,11.6,7.2,134.0
132,133.0,11.8,7.3,134.0
133,133.0,12.1,7.5,134.0
134,133.0,12.4,7.7,134.0
135,133.0,12.8,7.9,134.0
136,133.0,13.3,8.2,133.0
137,131.0,12.1,11.5,132.0
138,131.0,12.1,11.4,132.0
139,131.0,12.0,11.3,132.0
140,131.0,12.1,11.2,132.0
141,131.0,12.1,11.2,132.0
142,131.0,12.1,11.2,132.0
143,131.0,12.2,11.2,132.0
144,131.0,12.2,11.2,132.0
145,131.0,12.3,11.2,132.0
146,131.0,12.4,11.2,132.0
147,131.0,12.4,11.2,132.0
148,131.0,12.5,11.3,132.0
149,131.0,12.6,11.3,132.0
150,131.0,12.7,11.5,131.0
151,131.0,12.9,11.6,131.0
152,131.0,13.2,11.8,131.0
153,131.0,13.5,12.0,131.0
154,131.0,13.8,12.3,131.0
155,131.0,14.2,12.6,131.0
156,131.0,14.6,12.9,131.0
157,121.0,43.4,41.1,121.0
158,121.0,42.2,40.6,121.0
159,121.0,41.2,40.3,121.0
160,121.0,40.3,40.1,122.0
161,121.0,39.5,39.8,122.0
