,per_capita-Meningitis,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Prevalence of anaemia in children aged 6–59 months (%),Maternal mortality ratio (per 100 000 live births),Mean hemoglobin level of children aged 6-59 months,per_capita-Malaria
0,0.0001266944428342,9.59386,48.3,1300.0,108.0,0.0001221605614351
1,0.0001319715574899,9.41968,47.1,1240.0,109.0,8.75011417539292e-05
2,0.0001303621858446,9.4241,46.2,1180.0,109.0,3.008058795758489e-05
3,0.0001229556347362,9.55693,45.5,1140.0,110.0,2.0695126908973565e-05
4,0.0001140883833646,9.78268,44.9,1120.0,110.0,1.524615581438667e-05
5,0.0001070942784562,10.04326,44.5,1090.0,110.0,1.4349830014761704e-05
6,9.857168865177465e-05,10.23361,44.2,1030.0,110.0,9.203874260784525e-06
7,8.636539048110157e-05,10.19123,43.9,993.0,110.0,8.390783871944421e-06
8,8.275892003798807e-05,9.82583,43.7,954.0,110.0,1.2946104918805602e-05
9,7.819859997958167e-05,9.21902,43.5,905.0,110.0,1.3105910611103072e-05
10,7.409616485614298e-05,8.45282,43.5,858.0,111.0,3.0900796346395034e-06
11,7.332501052138358e-05,7.59035,43.5,810.0,111.0,4.596877029617647e-06
12,6.080536852012742e-05,6.70168,43.6,786.0,111.0,7.164663577565402e-06
13,5.592006127438411e-05,5.91332,43.7,701.0,111.0,8.721195717696368e-06
14,5.385211531108942e-05,5.29697,43.9,673.0,110.0,1.1640457237160276e-05
15,4.879147759114395e-05,4.86943,44.2,638.0,110.0,1.1692372107427288e-05
16,4.618340461480052e-05,4.55533,44.5,1014.3333333333334,110.0,1.365575288737122e-05
17,4.368306541425855e-05,4.29955,44.9,1014.3333333333334,110.0,1.4812555770669888e-05
18,1.5197799358652868e-05,3.89859,34.9,23.0,114.0,0.0
19,1.3427101389321362e-05,3.78719,33.4,23.0,115.0,0.0
20,1.258865316904818e-05,3.67789,32.1,21.0,115.0,0.0
21,1.1727664093638882e-05,3.57194,30.9,21.0,116.0,0.0
22,1.0835161082728096e-05,3.46361,29.6,18.0,116.0,0.0
23,9.918886651261532e-06,3.35452,28.3,22.0,116.0,0.0
24,9.315388789395362e-06,3.24281,27.1,18.0,117.0,0.0
25,8.022529938243233e-06,3.13393,25.9,19.0,117.0,0.0
26,7.037248154481671e-06,3.02643,24.8,20.0,118.0,0.0
27,5.699839733918069e-06,2.91963,23.8,20.0,118.0,0.0
28,5.356631107563831e-06,2.81678,23.0,21.0,118.0,0.0
29,4.34105027370322e-06,2.71469,22.9,22.0,118.0,0.0
30,4.32920759849197e-06,2.61688,23.1,17.0,118.0,0.0
31,4.316921835488751e-06,2.52107,23.6,16.0,118.0,0.0
32,4.304337878603765e-06,2.42743,24.4,16.0,118.0,0.0
33,4.621563289998475e-06,2.33726,25.5,15.0,117.0,0.0
34,4.607394077655652e-06,2.25042,26.9,16.0,117.0,0.0
35,4.265110054603251e-06,2.16659,28.4,15.0,116.0,0.0
36,4.265110054603251e-06,2.08356,29.6,19.05555555555556,116.0,0.0
37,1.925780042793067e-05,6.38065,39.9,161.0,112.0,0.0
38,1.849434163836158e-05,6.08547,39.3,155.0,113.0,0.0
39,1.775649836742411e-05,5.79904,38.8,148.0,113.0,0.0
40,1.6949742061471735e-05,6.37498,38.3,145.0,113.0,0.0
41,1.648129562636791e-05,5.29619,37.9,134.0,113.0,0.0
42,1.587801946491627e-05,5.08933,37.4,127.0,113.0,0.0
43,1.526126867199535e-05,4.90858,36.9,122.0,113.0,0.0
44,1.4657068654608784e-05,4.74624,36.3,119.0,114.0,0.0
45,1.2318747107611482e-05,4.5879,35.8,117.0,114.0,0.0
46,1.1878921141167578e-05,4.4312,35.2,117.0,114.0,0.0
47,1.1536398464774256e-05,4.27568,34.7,115.0,114.0,0.0
48,1.1287347403635772e-05,4.12504,34.3,116.0,114.0,0.0
49,1.1014987613505211e-05,3.98061,34.1,116.0,114.0,0.0
50,1.0916017466074638e-05,3.84461,33.9,115.0,114.0,0.0
51,1.0791860938564008e-05,3.72176,33.9,114.0,114.0,0.0
52,1.0562153277531684e-05,3.61643,33.9,114.0,114.0,0.0
53,8.206261355819066e-06,3.53372,34.0,113.0,114.0,0.0
54,8.012027013991242e-06,3.4667,34.0,112.0,114.0,0.0
55,7.905199987138027e-06,3.40788,34.1,125.55555555555556,114.0,0.0
56,7.640119797078419e-06,3.34704,34.3,125.55555555555556,114.0,0.0
57,0.0003251724304872,43.17231,72.8,827.0,99.0,0.0008703329989618
58,0.0003216656139381,41.93447,71.5,766.0,100.0,0.0009488404727815
59,0.0003241326160315,40.53535,70.3,690.0,101.0,0.0010019528765647
60,0.0003044350012815,38.96964,68.9,628.0,102.0,0.0010770311029645
61,0.0003074342720405,37.20527,67.5,574.0,102.0,0.0011844008367297
62,0.0002951341259006,35.35193,66.2,519.0,103.0,0.001208296308975
63,0.0002718014959738,33.42133,64.9,473.0,104.0,0.001155551035763
64,0.0002611847347233,31.49849,63.7,431.0,104.0,0.0010432055647171
65,0.0002497195855859,29.55372,62.6,395.0,104.0,0.0008573436655096
66,0.0002354890227465,27.73341,61.7,359.0,105.0,0.0006841918953624
