,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Maternal mortality ratio (per 100 000 live births),per_capita-Lower Respiratory Infections,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Mean Non-HDL cholesterol, age-standardized",Mean BMI (kg/m²) (age-standardized estimate),per_capita-Tuberculosis
0,9.59386,1300.0,0.0012858426629595,57.0,3.1,21.5,0.0002398296141946
1,9.41968,1240.0,0.0012941610824035,58.0,3.1,21.6,0.0002269910788826
2,9.4241,1180.0,0.0012538896573988,51.0,3.1,21.6,0.0002181912764271
3,9.55693,1140.0,0.001173280791254,47.0,3.1,21.7,0.0002051665517232
4,9.78268,1120.0,0.0010829189803812,43.0,3.1,21.8,0.0001916080886527
5,10.04326,1090.0,0.0010104032981386,39.0,3.1,21.9,0.0001823852440807
6,10.23361,1030.0,0.000931215513444,40.0,3.1,21.9,0.0001728884616045
7,10.19123,993.0,0.0008545258554105,44.0,3.1,22.0,0.0001607589930947
8,9.82583,954.0,0.0008138876198424,43.0,3.1,22.1,0.0001516445605343
9,9.21902,905.0,0.0007689809038817,44.0,3.1,22.2,0.000143123264853
10,8.45282,858.0,0.0007285355836476,44.0,3.1,22.3,0.0001355032792977
11,7.59035,810.0,0.000715569808946,43.0,3.1,22.3,0.0001300948345375
12,6.70168,786.0,0.000683471196544,43.0,3.1,22.4,0.0001247531333462
13,5.91332,701.0,0.0006453684831095,39.0,3.1,22.5,0.0001195479398908
14,5.29697,673.0,0.000618054277172,34.0,3.1,22.6,0.000115294528769
15,4.86943,638.0,0.0005822156617302,30.0,3.1,21.947058823529414,0.0001108577535899
16,4.55533,1014.3333333333334,0.0005571898828336,29.0,3.1,21.947058823529414,0.0001078687261339
17,4.29955,1014.3333333333334,0.0005225478400834,26.0,3.1,21.947058823529414,0.0001013681882645
18,3.89859,23.0,0.0002770432174754,0.73,3.7,25.4,6.6490372194106295e-06
19,3.78719,23.0,0.0002372121245446,0.65,3.7,25.5,6.074164914216807e-06
20,3.67789,21.0,0.0002165893917033,0.63,3.7,25.5,5.8101476164837765e-06
21,3.57194,21.0,0.0002032795109564,0.6,3.7,25.6,5.863832046819441e-06
22,3.46361,18.0,0.0001838694001917,0.84,3.7,25.7,5.58174964867811e-06
23,3.35452,22.0,0.000165645407076,0.39,3.7,25.8,4.959443325630767e-06
24,3.24281,18.0,0.0001467173734329,0.35,3.7,25.9,4.3250019379335606e-06
25,3.13393,19.0,0.0001313689277387,0.52,3.7,26.1,4.0112649691216165e-06
26,3.02643,20.0,0.0001253300385607,0.53,3.7,26.2,3.686177604728496e-06
27,2.91963,20.0,0.0001196966344122,0.17,3.7,26.3,3.3528469023047468e-06
28,2.81678,21.0,0.0001175110949221,0.29,3.6,26.4,3.347894442227394e-06
29,2.71469,22.0,0.000119879772943,0.29,3.6,26.5,3.6731963854411857e-06
30,2.61688,17.0,0.0001228828926033,0.29,3.6,26.6,3.663175660262437e-06
31,2.52107,16.0,0.0001271831586917,0.29,3.6,26.7,3.652780014644327e-06
32,2.42743,16.0,0.0001327722684092,0.29,3.6,26.8,3.642132051126263e-06
33,2.33726,15.0,0.0001379866753728,0.29,3.6,26.9,3.631228299284516e-06
34,2.25042,16.0,0.0001415128180994,0.29,3.6,27.0,3.620095346729441e-06
35,2.16659,15.0,0.0001443575710788,0.29,3.6,26.170588235294115,3.6089392769719818e-06
36,2.08356,19.05555555555556,0.0001469822541894,0.29,3.6,26.170588235294115,3.6089392769719818e-06
37,6.38065,161.0,0.0001937939404838,8.2,3.7,23.4,2.0539462913748584e-05
38,6.08547,155.0,0.0001876965145259,8.0,3.6,23.5,1.9466023335648527e-05
39,5.79904,148.0,0.0001819082998216,8.2,3.6,23.6,1.868264666356673e-05
40,6.37498,145.0,0.000175987470549,8.4,3.6,23.7,1.783188477099071e-05
41,5.29619,134.0,0.0001725560555296,8.4,3.6,23.7,1.722761844718457e-05
42,5.08933,127.0,0.0001686694059986,8.8,3.6,23.8,1.6584391704167866e-05
43,4.90858,122.0,0.0001645365010103,8.6,3.6,23.9,1.5898419053927557e-05
44,4.74624,119.0,0.0001608081254232,8.6,3.6,24.0,1.537643398735032e-05
45,4.5879,117.0,0.0001573009246048,8.1,3.5,24.0,1.5013473037401493e-05
46,4.4312,117.0,0.0001546015253939,8.4,3.5,24.1,1.47462469338632e-05
47,4.27568,115.0,0.0001524886353464,8.5,3.5,24.2,1.4427726400807908e-05
48,4.12504,116.0,0.0001519362687218,8.0,3.5,24.3,1.4116328145306509e-05
49,3.98061,116.0,0.0001514419579067,8.0,3.5,24.4,1.3811099853856534e-05
50,3.84461,115.0,0.000151651679989,7.4,3.4,24.5,1.3596164976926722e-05
51,3.72176,114.0,0.0001529904991878,7.9,3.4,24.6,1.3331122335873184e-05
52,3.61643,114.0,0.0001537653012031,8.1,3.4,24.6,1.3018467993236728e-05
