,Maternal mortality ratio (per 100 000 live births),Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Lower Respiratory Infections
0,1300.0,9.59386,48.3,0.0001184317617798,0.0002398296141946,108.0,0.0012858426629595
1,1240.0,9.41968,47.1,0.0001215338070339,0.0002269910788826,109.0,0.0012941610824035
2,1180.0,9.4241,46.2,0.000118026420796,0.0002181912764271,109.0,0.0012538896573988
3,1140.0,9.55693,45.5,0.0001093234318732,0.0002051665517232,110.0,0.001173280791254
4,1120.0,9.78268,44.9,0.000100425765473,0.0001916080886527,110.0,0.0010829189803812
5,1090.0,10.04326,44.5,9.084574319777891e-05,0.0001823852440807,110.0,0.0010104032981386
6,1030.0,10.23361,44.2,8.218518310512297e-05,0.0001728884616045,110.0,0.000931215513444
7,993.0,10.19123,43.9,7.16200799111574e-05,0.0001607589930947,110.0,0.0008545258554105
8,954.0,9.82583,43.7,6.778676686928981e-05,0.0001516445605343,110.0,0.0008138876198424
9,905.0,9.21902,43.5,6.203464355922121e-05,0.000143123264853,110.0,0.0007689809038817
10,858.0,8.45282,43.5,5.6048784862344187e-05,0.0001355032792977,111.0,0.0007285355836476
11,810.0,7.59035,43.5,5.432672853184491e-05,0.0001300948345375,111.0,0.000715569808946
12,786.0,6.70168,43.6,5.0812548267207256e-05,0.0001247531333462,111.0,0.000683471196544
13,701.0,5.91332,43.7,4.621619561666561e-05,0.0001195479398908,111.0,0.0006453684831095
14,673.0,5.29697,43.9,4.3561711104012166e-05,0.000115294528769,110.0,0.000618054277172
15,638.0,4.86943,44.2,4.005882874900527e-05,0.0001108577535899,110.0,0.0005822156617302
16,1014.3333333333334,4.55533,44.5,3.748005996340727e-05,0.0001078687261339,110.0,0.0005571898828336
17,1014.3333333333334,4.29955,44.9,3.47675837334214e-05,0.0001013681882645,110.0,0.0005225478400834
18,23.0,3.89859,34.9,6.965658039382564e-06,6.6490372194106295e-06,114.0,0.0002770432174754
19,23.0,3.78719,33.4,5.115086243550996e-06,6.074164914216807e-06,115.0,0.0002372121245446
20,21.0,3.67789,32.1,4.19621772301606e-06,5.8101476164837765e-06,115.0,0.0002165893917033
21,21.0,3.57194,30.9,3.257684470455245e-06,5.863832046819441e-06,116.0,0.0002032795109564
22,18.0,3.46361,29.6,2.626705717024993e-06,5.58174964867811e-06,116.0,0.0001838694001917
23,22.0,3.35452,28.3,2.314406885294358e-06,4.959443325630767e-06,116.0,0.000165645407076
24,18.0,3.24281,27.1,1.99615474058472e-06,4.3250019379335606e-06,117.0,0.0001467173734329
25,19.0,3.13393,25.9,2.005632484560808e-06,4.0112649691216165e-06,117.0,0.0001313689277387
26,20.0,3.02643,24.8,1.6755352748765884e-06,3.686177604728496e-06,118.0,0.0001253300385607
27,20.0,2.91963,23.8,1.6764234511523734e-06,3.3528469023047468e-06,118.0,0.0001196966344122
28,21.0,2.81678,23.0,1.673947221113697e-06,3.347894442227394e-06,118.0,0.0001175110949221
29,22.0,2.71469,22.9,1.6696347206550843e-06,3.6731963854411857e-06,118.0,0.000119879772943
30,17.0,2.61688,23.1,1.6650798455738348e-06,3.663175660262437e-06,118.0,0.0001228828926033
31,16.0,2.52107,23.6,1.6603545521110578e-06,3.652780014644327e-06,118.0,0.0001271831586917
32,16.0,2.42743,24.4,1.655514568693756e-06,3.642132051126263e-06,118.0,0.0001327722684092
33,15.0,2.33726,25.5,1.650558317856598e-06,3.631228299284516e-06,117.0,0.0001379866753728
34,16.0,2.25042,26.9,1.6454978848770189e-06,3.620095346729441e-06,117.0,0.0001415128180994
35,15.0,2.16659,28.4,1.6404269440781736e-06,3.6089392769719818e-06,116.0,0.0001443575710788
36,19.05555555555556,2.08356,29.6,1.6404269440781736e-06,3.6089392769719818e-06,116.0,0.0001469822541894
37,161.0,6.38065,39.9,1.0121847323895305e-05,2.0539462913748584e-05,112.0,0.0001937939404838
38,155.0,6.08547,39.3,9.166197344406877e-06,1.9466023335648527e-05,113.0,0.0001876965145259
39,148.0,5.79904,38.8,8.079845480140826e-06,1.868264666356673e-05,113.0,0.0001819082998216
40,145.0,6.37498,38.3,7.025636579383266e-06,1.783188477099071e-05,113.0,0.000175987470549
41,134.0,5.29619,37.9,6.250453624339527e-06,1.722761844718457e-05,113.0,0.0001725560555296
42,127.0,5.08933,37.4,5.620266077523555e-06,1.6584391704167866e-05,113.0,0.0001686694059986
43,122.0,4.90858,36.9,5.0668625610799664e-06,1.5898419053927557e-05,113.0,0.0001645365010103
44,119.0,4.74624,36.3,4.585953996227289e-06,1.537643398735032e-05,114.0,0.0001608081254232
45,117.0,4.5879,35.8,4.175344572531776e-06,1.5013473037401493e-05,114.0,0.0001573009246048
46,117.0,4.4312,35.2,3.862112292202266e-06,1.47462469338632e-05,114.0,0.0001546015253939
47,115.0,4.27568,34.7,3.643073199402397e-06,1.4427726400807908e-05,114.0,0.0001524886353464
48,116.0,4.12504,34.3,3.514794254803038e-06,1.4116328145306509e-05,114.0,0.0001519362687218
49,116.0,3.98061,34.1,3.389226958001604e-06,1.3811099853856534e-05,114.0,0.0001514419579067
50,115.0,3.84461,33.9,3.2943479820890208e-06,1.3596164976926722e-05,114.0,0.000151651679989
51,114.0,3.72176,33.9,3.2844794160846973e-06,1.3331122335873184e-05,114.0,0.0001529904991878
52,114.0,3.61643,33.9,3.220501516146612e-06,1.3018467993236728e-05,114.0,0.0001537653012031
53,113.0,3.53372,34.0,3.1313365699835907e-06,1.2633323403037246e-05,114.0,0.0001502771610784
54,112.0,3.4667,34.0,3.044570265316672e-06,1.2338521601546514e-05,114.0,0.000149691371378
55,125.55555555555556,3.40788,34.1,3.044570265316672e-06,1.2098160791126777e-05,114.0,0.0001523353402926
56,125.55555555555556,3.34704,34.3,2.9827864961196563e-06,1.1643333252396903e-05,114.0,0.0001513894970749
57,827.0,43.17231,72.8,0.0007354227107553,0.0014125761620222,99.0,0.001743110310568
58,766.0,41.93447,71.5,0.0006927235560629,0.001392140465011,100.0,0.0016851092901429
59,690.0,40.53535,70.3,0.0006389871978091,0.0013444919153903,101.0,0.001605997800208
60,628.0,38.96964,68.9,0.0005960585438785,0.0012948259006003,102.0,0.0015234778666127
61,574.0,37.20527,67.5,0.0005830144136447,0.001273466661963,102.0,0.0014930925086559
62,519.0,35.35193,66.2,0.000538946465283,0.0012032860026394,103.0,0.0014093179239782
63,473.0,33.42133,64.9,0.0004961758674082,0.0011559457136371,104.0,0.0013349979091939
64,431.0,31.49849,63.7,0.0004579677540355,0.0011078628424911,104.0,0.0012665670697545
65,395.0,29.55372,62.6,0.000418455749236,0.0010571317547486,104.0,0.0011921455272092
66,359.0,27.73341,61.7,0.0003761425533795,0.0009840917838537,105.0,0.0011007798845892
67,326.0,26.01003,61.0,0.0003478286992943,0.000924492069177,105.0,0.0010371491377744
68,300.0,24.35412,60.6,0.000311318590975,0.0008621963247307,105.0,0.0009611434272449
69,281.0,22.83246,60.5,0.0002810135006107,0.0008116383231081,105.0,0.0008994758106857
70,269.0,21.49714,60.7,0.0002500367891268,0.0007675084464172,105.0,0.0008335457371259
71,258.0,20.319,61.1,0.0002223374073886,0.000711333015439,105.0,0.0007713704020713
72,251.0,19.31237,61.4,0.0002022893653066,0.0006700007215157,105.0,0.0007264583076013
73,246.0,18.47286,61.9,0.000183320401429,0.0006250640729093,105.0,0.0006765702646575
74,241.0,17.71616,62.1,0.0001615140407223,0.0005904814392,105.0,0.0006352982085642
75,435.22222222222223,17.0933,62.3,0.000149935973287,0.0005719565313036,105.0,0.0006197643014218
76,435.22222222222223,16.46195,62.4,0.0001377651018652,0.0005369868912507,105.0,0.0005840966159681
77,66.0,2.80069,21.7,4.764882638181864e-05,2.7989333091062662e-05,120.0,0.0004787381240857
78,67.0,2.74467,21.1,4.791192101653497e-05,2.671500800866596e-05,120.0,0.0005141113606752
79,65.0,2.7028,20.7,5.007967484159244e-05,2.6342487922456137e-05,120.0,0.0005513764305207
80,65.0,2.68667,20.4,4.919544835156121e-05,2.5275922297276147e-05,120.0,0.000588076024966
81,61.0,2.69609,20.1,4.5196623639274464e-05,2.338557453865372e-05,120.0,0.0005992230826874
82,59.0,2.72475,19.9,4.11931622413368e-05,2.197479100978376e-05,120.0,0.0006068207096964
83,57.0,2.75596,19.6,3.879899123632519e-05,2.105293343597606e-05,120.0,0.0006255548482936
84,56.0,2.76186,19.4,3.780386416417404e-05,2.0849555202830467e-05,120.0,0.0006618422876721
85,53.0,2.72734,19.2,3.5003211303789336e-05,1.9663060125487872e-05,120.0,0.0006611333432142
86,56.0,2.65441,19.1,3.343632765098261e-05,1.913789806339137e-05,121.0,0.0006834893760468
87,51.0,2.55598,18.8,3.270187116623774e-05,1.8382708643743107e-05,121.0,0.0007181350258325
88,48.0,2.44874,18.7,3.1601833749073014e-05,1.807529127314404e-05,121.0,0.0007434091981637
89,47.0,2.35087,18.5,3.057415707285959e-05,1.7657168232000305e-05,121.0,0.0007586420106551
90,44.0,2.27051,18.4,2.978105643193374e-05,1.7671501570721914e-05,121.0,0.0007880363230322
91,42.0,2.20843,18.3,2.893708441000981e-05,1.7292522731764897e-05,121.0,0.0008057757769688
92,41.0,2.15906,18.3,2.908001604719556e-05,1.703817250587863e-05,121.0,0.0008313937446145
93,40.0,2.10777,18.3,2.97262393583257e-05,1.736121884242967e-05,121.0,0.000870867026113
94,39.0,2.03671,18.5,3.00257009147167e-05,1.6979895622705002e-05,121.0,0.000850147876577
95,53.16666666666666,1.93891,18.6,2.97091649110977e-05,1.6595530475453355e-05,121.0,0.000824847606002
96,53.16666666666666,1.84033,19.0,2.955450998266906e-05,1.6154984028120606e-05,121.0,0.0008058381579033
97,43.0,1.87779,28.9,1.4461525112438356e-05,4.502793046372852e-05,116.0,0.0001544753818828
98,42.0,1.84612,28.5,1.2881532836348383e-05,4.7232287066610735e-05,116.0,0.0001492936626161
99,39.0,1.82987,28.3,1.09495662976331e-05,5.109797605562114e-05,117.0,0.0001476532424983
100,38.0,1.82607,27.9,8.661723709669682e-06,5.163719903841541e-05,117.0,0.0001512470216996
101,36.0,1.83259,27.6,5.348737697903295e-06,5.148160034231921e-05,117.0,0.0001614650192554
102,35.0,1.84806,26.9,3.6876815345046313e-06,5.229802903479294e-05,117.0,0.0001743267634493
103,36.0,1.86962,26.3,2.351856555564963e-06,5.5436618809745554e-05,117.0,0.0001905003810007
104,32.0,1.89665,25.5,2.0190803089192874e-06,5.417865495600088e-05,117.0,0.0001928221695017
105,36.0,1.92647,24.6,1.6843035707909422e-06,5.423457497946834e-05,118.0,0.0001943686320692
106,32.0,1.95587,23.6,1.6852016377463596e-06,5.055604913239079e-05,118.0,0.0001927870673581
107,32.0,1.98247,22.5,1.6853163777023203e-06,4.6514732024584045e-05,119.0,0.000192126067058
108,30.0,2.00402,21.6,1.3477202469697352e-06,4.27901178412891e-05,119.0,0.0001910393450079
109,30.0,2.01882,21.0,1.3465769173151276e-06,3.938737483146748e-05,119.0,0.0001881841241947
110,26.0,2.02726,20.3,1.008680027866467e-06,3.4295120947459875e-05,119.0,0.0001876144851831
111,27.0,2.02747,19.8,1.0071342029825271e-06,3.0549737490469994e-05,119.0,0.0001900126529627
112,28.0,2.02097,19.3,1.3405054845106267e-06,2.815061517472316e-05,120.0,0.0001994001908209
113,26.0,2.00835,19.1,1.3379429929249577e-06,2.608988836203667e-05,120.0,0.0002050397636657
114,26.0,1.99133,19.1,1.3351638429620345e-06,2.5368113016278653e-05,120.0,0.0001942663391509
115,33.0,1.97039,19.3,1.3351638429620345e-06,2.470053109479764e-05,119.0,0.0001885918928183
116,33.0,1.94495,19.6,1.3289888687214827e-06,2.425404685416706e-05,119.0,0.0001814069805804
117,7.0,1.3364,11.8,6.508097910764111e-06,4.303742166795621e-06,122.0,0.0001489514666995
