,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
0,9.59386,0.0012858426629595,48.3,0.0001184317617798,35.98287,0.0002398296141946,108.0,0.0004827524371943
1,9.41968,0.0012941610824035,47.1,0.0001215338070339,35.66648,0.0002269910788826,109.0,0.0004938135732986
2,9.4241,0.0012538896573988,46.2,0.000118026420796,35.32785,0.0002181912764271,109.0,0.0004770088579354
3,9.55693,0.001173280791254,45.5,0.0001093234318732,35.01817,0.0002051665517232,110.0,0.0004379012908518
4,9.78268,0.0010829189803812,44.9,0.000100425765473,34.56518,0.0001916080886527,110.0,0.0003813748541395
5,10.04326,0.0010104032981386,44.5,9.084574319777891e-05,34.1208,0.0001823852440807,110.0,0.0003403064013678
6,10.23361,0.000931215513444,44.2,8.218518310512297e-05,33.69409,0.0001728884616045,110.0,0.0002986747431685
7,10.19123,0.0008545258554105,43.9,7.16200799111574e-05,33.2445,0.0001607589930947,110.0,0.0002583589059148
8,9.82583,0.0008138876198424,43.7,6.778676686928981e-05,32.64088,0.0001516445605343,110.0,0.0002365668880256
9,9.21902,0.0007689809038817,43.5,6.203464355922121e-05,32.11355,0.000143123264853,110.0,0.0002154746124061
10,8.45282,0.0007285355836476,43.5,5.6048784862344187e-05,31.6925,0.0001355032792977,111.0,0.0001975021111161
11,7.59035,0.000715569808946,43.5,5.432672853184491e-05,31.10597,0.0001300948345375,111.0,0.0001924259153796
12,6.70168,0.000683471196544,43.6,5.0812548267207256e-05,30.69205,0.0001247531333462,111.0,0.0001807192115551
13,5.91332,0.0006453684831095,43.7,4.621619561666561e-05,30.30055,0.0001195479398908,111.0,0.0001691727718619
14,5.29697,0.000618054277172,43.9,4.3561711104012166e-05,29.88528,0.000115294528769,110.0,0.0001612863353272
15,4.86943,0.0005822156617302,44.2,4.005882874900527e-05,29.43246,0.0001108577535899,110.0,0.0001561327282916
16,4.55533,0.0005571898828336,44.5,3.748005996340727e-05,28.91195,0.0001078687261339,110.0,0.0001347113648567
17,4.29955,0.0005225478400834,44.9,3.47675837334214e-05,28.37778,0.0001013681882645,110.0,0.0001207363036401
18,3.89859,0.0002770432174754,34.9,6.965658039382564e-06,6.38091,6.6490372194106295e-06,114.0,4.749312299579021e-06
19,3.78719,0.0002372121245446,33.4,5.115086243550996e-06,6.26195,6.074164914216807e-06,115.0,4.156007572885184e-06
20,3.67789,0.0002165893917033,32.1,4.19621772301606e-06,6.13664,5.8101476164837765e-06,115.0,3.5506457656289743e-06
21,3.57194,0.0002032795109564,30.9,3.257684470455245e-06,6.02551,5.863832046819441e-06,116.0,3.257684470455245e-06
22,3.46361,0.0001838694001917,29.6,2.626705717024993e-06,5.92923,5.58174964867811e-06,116.0,3.283382146281241e-06
23,3.35452,0.000165645407076,28.3,2.314406885294358e-06,5.79962,4.959443325630767e-06,116.0,2.97566599537846e-06
24,3.24281,0.0001467173734329,27.1,1.99615474058472e-06,5.61353,4.3250019379335606e-06,117.0,2.66153965411296e-06
25,3.13393,0.0001313689277387,25.9,2.005632484560808e-06,5.36141,4.0112649691216165e-06,117.0,2.674176646081077e-06
26,3.02643,0.0001253300385607,24.8,1.6755352748765884e-06,5.06642,3.686177604728496e-06,118.0,2.345749384827224e-06
27,2.91963,0.0001196966344122,23.8,1.6764234511523734e-06,4.77487,3.3528469023047468e-06,118.0,2.346992831613323e-06
28,2.81678,0.0001175110949221,23.0,1.673947221113697e-06,4.51758,3.347894442227394e-06,118.0,2.3435261095591763e-06
29,2.71469,0.000119879772943,22.9,1.6696347206550843e-06,4.36331,3.6731963854411857e-06,118.0,2.3374886089171184e-06
30,2.61688,0.0001228828926033,23.1,1.6650798455738348e-06,4.25269,3.663175660262437e-06,118.0,2.331111783803369e-06
31,2.52107,0.0001271831586917,23.6,1.6603545521110578e-06,4.12614,3.652780014644327e-06,118.0,2.324496372955481e-06
32,2.42743,0.0001327722684092,24.4,1.655514568693756e-06,4.01272,3.642132051126263e-06,118.0,2.3177203961712583e-06
