,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
0,1.1,2.357733333333333,28.2,30.8,4.3,0.0006117350070898
1,1.1,2.357733333333333,28.9,30.9,4.3,0.0005979111381914
2,1.1,2.357733333333333,29.6,31.0,4.3,0.000597720350619
3,1.1,2.357733333333333,30.3,31.1,4.2,0.0005907034755889
4,1.1,1.596,31.1,31.2,4.2,0.0005790593092401
5,1.1,1.743,31.8,31.2,4.2,0.000581478480878
6,1.1,1.744,32.6,31.3,4.2,0.0005828398492672
7,1.1,2.126,33.4,31.4,4.2,0.0005751724358747
8,1.1,2.365,34.2,31.4,4.2,0.0005740927905373
9,1.1,2.518,35.0,31.4,4.2,0.0005744421435543
10,1.1,2.414,35.8,31.4,4.2,0.0005760039931718
11,1.1,2.846,36.7,31.4,4.2,0.0005791100677521
12,1.1,2.983,37.5,31.4,4.2,0.0005801492060044
13,1.1,2.85,38.4,31.4,4.2,0.0005796524308705
14,1.1,2.782,39.2,31.5,4.1,0.0005837929313863
15,1.1,2.409,40.1,31.5,4.1,0.0005893365800813
16,1.1,2.966,40.9,31.6,4.1,0.0006058055352803
17,1.1,2.125,41.8,31.6,4.2,0.0005938157970932
18,1.4,13.821,21.1,41.8,5.1,0.0009729757797737
19,1.4,13.1,21.7,42.2,5.1,0.0009731451578355
20,1.4,11.695,22.3,42.6,5.0,0.0010296872720324
21,1.4,11.863,22.8,43.1,5.0,0.0011037034985902
22,1.4,11.913,23.4,43.6,5.0,0.0011370352372571
23,1.4,13.2478,24.1,44.2,5.0,0.0011466232968858
24,1.4,11.838,24.6,44.7,5.0,0.0011294908907141
25,1.4,11.951,25.2,45.2,5.0,0.0011221513751117
26,1.4,13.2478,25.8,45.7,5.0,0.0011631565878193
27,1.4,12.297,26.4,46.1,5.0,0.0011828843871331
28,1.4,12.347,27.0,46.5,5.0,0.0012109334197536
29,1.4,12.217,27.6,46.7,5.0,0.0012552313829884
30,1.4,12.683,28.1,46.8,5.0,0.0012871067206285
31,1.4,12.773,28.7,46.9,5.0,0.0013223063653012
32,1.4,13.2478,29.2,46.9,5.0,0.0013717593716196
33,1.4,13.2478,29.7,46.9,4.9,0.0014237716049831
34,1.4,12.164,30.1,46.8,4.9,0.0014542910306543
35,1.4,13.2478,30.6,46.7,4.9,0.0014819617012802
36,1.4,21.584,31.0,46.6,4.9,0.0015128017278288
37,1.0,13.7642,22.3,30.8,4.5,0.0004242631459463
38,1.1,13.7642,22.9,31.0,4.5,0.0004264710969392
39,1.1,11.103,23.6,31.1,4.5,0.0004311060637803
40,1.1,13.7642,24.4,31.3,4.5,0.0004369441870828
41,1.1,13.7642,25.2,31.5,4.5,0.0004470784664533
42,1.1,10.242,26.1,31.6,4.5,0.0004580977530729
43,1.1,13.7642,27.0,31.7,4.4,0.0004672436134169
44,1.1,11.958,27.9,31.8,4.4,0.0004780482371622
45,1.1,13.7642,28.9,31.9,4.4,0.0004893148490532
46,1.1,13.7642,29.9,32.0,4.4,0.000501928305854
47,1.1,13.7642,30.9,32.1,4.4,0.0005119385243541
48,1.1,13.7642,31.8,32.1,4.4,0.0005211039677283
49,1.1,13.7642,32.7,32.1,4.4,0.000530837672297
50,1.1,13.7642,33.6,32.1,4.4,0.0005404684964852
51,1.1,13.7642,34.4,32.1,4.3,0.0005518201425695
52,1.1,13.7642,35.3,32.2,4.3,0.0005639425663401
53,1.1,18.325,36.1,32.2,4.3,0.0005750591633651
54,1.1,13.7642,36.8,32.4,4.3,0.0005891777598522
55,1.1,17.193,37.5,32.5,4.3,0.0006130001868404
56,1.0947368421052632,13.7642,38.3,32.7,4.405263157894737,0.0006231407297507
57,1.1,1.5550000000000002,21.1,34.3,4.1,0.0005135422016885
58,1.1,1.5550000000000002,21.6,34.4,4.1,0.0005083870789053
59,1.1,1.5550000000000002,22.2,34.4,4.1,0.0005051291068395
60,1.1,1.5550000000000002,22.7,34.4,4.1,0.0005079707177826
61,1.1,0.621,23.3,34.5,4.1,0.000515533953115
62,1.1,1.5550000000000002,23.9,34.5,4.1,0.0005090200409545
63,1.1,1.5550000000000002,24.6,34.5,4.1,0.0005111078469789
64,1.1,1.5550000000000002,25.2,34.5,4.1,0.0005091441171748
65,1.1,1.5550000000000002,26.0,34.4,4.1,0.0005150893416687
66,1.1,1.313,26.7,34.3,4.1,0.0005215650234631
67,1.1,1.5550000000000002,27.5,34.2,4.1,0.0005295468979641
68,1.1,1.5550000000000002,28.4,34.0,4.1,0.0005362294587867
69,1.1,1.5550000000000002,29.3,33.7,4.1,0.0005429198554369
70,1.1,1.5550000000000002,30.2,33.5,4.1,0.0005453193565533
71,1.1,1.5550000000000002,31.1,33.2,4.1,0.0005403364796905
