,per_capita-Nutritional Deficiencies,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition
0,0.0001184317617798,9.59386,0.0012858426629595,1300.0,0.0001163554983354
1,0.0001215338070339,9.41968,0.0012941610824035,1240.0,0.0001193342810757
2,0.000118026420796,9.4241,0.0012538896573988,1180.0,0.000115886146103
3,0.0001093234318732,9.55693,0.001173280791254,1140.0,0.0001072349328274
4,0.000100425765473,9.78268,0.0010829189803812,1120.0,9.851078938039696e-05
5,9.084574319777891e-05,10.04326,0.0010104032981386,1090.0,8.905657864123102e-05
6,8.218518310512297e-05,10.23361,0.000931215513444,1030.0,8.052487637572655e-05
7,7.16200799111574e-05,10.19123,0.0008545258554105,993.0,7.014554885416298e-05
8,6.778676686928981e-05,9.82583,0.0008138876198424,954.0,6.6344495233773e-05
9,6.203464355922121e-05,9.21902,0.0007689809038817,905.0,6.065684270010524e-05
10,5.6048784862344187e-05,8.45282,0.0007285355836476,858.0,5.4799603733447365e-05
11,5.432672853184491e-05,7.59035,0.000715569808946,810.0,5.307303479649465e-05
12,5.0812548267207256e-05,6.70168,0.000683471196544,786.0,4.961843767094636e-05
13,4.621619561666561e-05,5.91332,0.0006453684831095,701.0,4.511069193414072e-05
14,4.3561711104012166e-05,5.29697,0.000618054277172,673.0,4.248166867994575e-05
15,4.005882874900527e-05,4.86943,0.0005822156617302,638.0,3.903318207291516e-05
16,3.748005996340727e-05,4.55533,0.0005571898828336,1014.3333333333334,3.648371747806259e-05
17,3.47675837334214e-05,4.29955,0.0005225478400834,1014.3333333333334,3.3817344306623704e-05
18,6.965658039382564e-06,3.89859,0.0002770432174754,23.0,6.6490372194106295e-06
19,5.115086243550996e-06,3.78719,0.0002372121245446,23.0,4.795393353329058e-06
20,4.19621772301606e-06,3.67789,0.0002165893917033,21.0,3.5506457656289743e-06
21,3.257684470455245e-06,3.57194,0.0002032795109564,21.0,2.9319160234097205e-06
22,2.626705717024993e-06,3.46361,0.0001838694001917,18.0,2.2983675023968688e-06
23,2.314406885294358e-06,3.35452,0.000165645407076,22.0,1.9837773302523067e-06
24,1.99615474058472e-06,3.24281,0.0001467173734329,18.0,1.6634622838206003e-06
25,2.005632484560808e-06,3.13393,0.0001313689277387,19.0,1.3370883230405388e-06
26,1.6755352748765884e-06,3.02643,0.0001253300385607,20.0,1.3404282199012709e-06
27,1.6764234511523734e-06,2.91963,0.0001196966344122,20.0,1.3411387609218988e-06
28,1.673947221113697e-06,2.81678,0.0001175110949221,21.0,1.3391577768909575e-06
29,1.6696347206550843e-06,2.71469,0.000119879772943,22.0,1.3357077765240676e-06
30,1.6650798455738348e-06,2.61688,0.0001228828926033,17.0,1.332063876459068e-06
31,1.6603545521110578e-06,2.52107,0.0001271831586917,16.0,1.3282836416888465e-06
32,1.655514568693756e-06,2.42743,0.0001327722684092,16.0,1.3244116549550048e-06
33,1.650558317856598e-06,2.33726,0.0001379866753728,15.0,1.3204466542852783e-06
34,1.6454978848770189e-06,2.25042,0.0001415128180994,16.0,1.316398307901615e-06
35,1.6404269440781736e-06,2.16659,0.0001443575710788,15.0,1.312341555262539e-06
36,1.6404269440781736e-06,2.08356,0.0001469822541894,19.05555555555556,9.842561664469042e-07
37,1.0121847323895305e-05,6.38065,0.0001937939404838,161.0,9.168816244697368e-06
38,9.166197344406877e-06,6.08547,0.0001876965145259,155.0,8.259294426939059e-06
39,8.079845480140826e-06,5.79904,0.0001819082998216,148.0,7.281441776569598e-06
40,7.025636579383266e-06,6.37498,0.000175987470549,145.0,6.3010193537069656e-06
41,6.250453624339527e-06,5.29619,0.0001725560555296,134.0,5.535227587723562e-06
42,5.620266077523555e-06,5.08933,0.0001686694059986,127.0,4.97531751125036e-06
43,5.0668625610799664e-06,4.90858,0.0001645365010103,122.0,4.429712179147755e-06
44,4.585953996227289e-06,4.74624,0.0001608081254232,119.0,3.986482885609342e-06
45,4.175344572531776e-06,4.5879,0.0001573009246048,117.0,3.6127094882899058e-06
46,3.862112292202266e-06,4.4312,0.0001546015253939,117.0,3.306202189536789e-06
47,3.643073199402397e-06,4.27568,0.0001524886353464,115.0,3.1226341709163406e-06
48,3.514794254803038e-06,4.12504,0.0001519362687218,116.0,2.971858556906633e-06
49,3.389226958001604e-06,3.98061,0.0001514419579067,116.0,2.852599356318016e-06
50,3.2943479820890208e-06,3.84461,0.000151651679989,115.0,2.791820323804255e-06
51,3.2844794160846973e-06,3.72176,0.0001529904991878,114.0,2.732466068843572e-06
52,3.220501516146612e-06,3.61643,0.0001537653012031,114.0,2.674653801545492e-06
53,3.1313365699835907e-06,3.53372,0.0001502771610784,113.0,2.5914509544691786e-06
54,3.044570265316672e-06,3.4667,0.000149691371378,112.0,2.510435131050589e-06
55,3.044570265316672e-06,3.40788,0.0001523353402926,125.55555555555556,2.4837283743372854e-06
56,2.9827864961196563e-06,3.34704,0.0001513894970749,125.55555555555556,2.407161031956214e-06
57,0.0007354227107553,43.17231,0.001743110310568,827.0,0.0007199683469397
58,0.0006927235560629,41.93447,0.0016851092901429,766.0,0.0006788752397489
59,0.0006389871978091,40.53535,0.001605997800208,690.0,0.000626566603566
60,0.0005960585438785,38.96964,0.0015234778666127,628.0,0.0005845499453993
61,0.0005830144136447,37.20527,0.0014930925086559,574.0,0.0005720470924199
62,0.000538946465283,35.35193,0.0014093179239782,519.0,0.0005287904389272
63,0.0004961758674082,33.42133,0.0013349979091939,473.0,0.0004866378187837
64,0.0004579677540355,31.49849,0.0012665670697545,431.0,0.0004490869619302
65,0.000418455749236,29.55372,0.0011921455272092,395.0,0.0004100096254758
66,0.0003761425533795,27.73341,0.0011007798845892,359.0,0.0003681138325322
67,0.0003478286992943,26.01003,0.0010371491377744,326.0,0.0003402008769413
68,0.000311318590975,24.35412,0.0009611434272449,300.0,0.0003040799492588
69,0.0002810135006107,22.83246,0.0008994758106857,281.0,0.0002741460047345
70,0.0002500367891268,21.49714,0.0008335457371259,269.0,0.0002436269705344
71,0.0002223374073886,20.319,0.0007713704020713,258.0,0.0002163651019121
72,0.0002022893653066,19.31237,0.0007264583076013,251.0,0.000196582461298
73,0.000183320401429,18.47286,0.0006765702646575,246.0,0.0001778178150151
74,0.0001615140407223,17.71616,0.0006352982085642,241.0,0.0001563039103764
75,0.000149935973287,17.0933,0.0006197643014218,435.22222222222223,0.0001447258429411
76,0.0001377651018652,16.46195,0.0005840966159681,435.22222222222223,0.0001327845393103
77,4.764882638181864e-05,2.80069,0.0004787381240857,66.0,4.5345398012602e-05
