,name,year,gdp
0,Afghanistan,2000,4367
1,Afghanistan,2001,4553
2,Afghanistan,2002,5146
3,Afghanistan,2003,6167
4,Afghanistan,2004,6925
5,Afghanistan,2005,8556
6,Afghanistan,2006,10297
7,Afghanistan,2007,12066
8,Afghanistan,2008,12066
9,Afghanistan,2009,12066
10,Albania,2000,3483
11,Albania,2001,3928
12,Albania,2002,4348
13,Albania,2003,5611
14,Albania,2004,7185
15,Albania,2005,8052
16,Albania,2006,8896
17,Albania,2007,10677
18,Albania,2008,12881
19,Albania,2009,12044
20,Algeria,2000,54749
21,Algeria,2001,54745
22,Algeria,2002,56761
23,Algeria,2003,67864
24,Algeria,2004,85332
25,Algeria,2005,103198
26,Algeria,2006,117027
27,Algeria,2007,134977
28,Algeria,2008,171001
29,Algeria,2009,137211
30,Andorra,2000,1429
31,Andorra,2001,1547
32,Andorra,2002,1758
33,Andorra,2003,2362
34,Andorra,2004,2896
35,Andorra,2005,3158
36,Andorra,2006,3456
37,Andorra,2007,3952
38,Andorra,2008,4082
39,Andorra,2009,3675
40,Angola,2000,11166
41,Angola,2001,10930
42,Angola,2002,15286
43,Angola,2003,17813
44,Angola,2004,23552
45,Angola,2005,36971
46,Angola,2006,52381
47,Angola,2007,65266
48,Angola,2008,88539
49,Angola,2009,70307
50,Antigua and Barbuda,2000,826
51,Antigua and Barbuda,2001,800
52,Antigua and Barbuda,2002,814
53,Antigua and Barbuda,2003,856
54,Antigua and Barbuda,2004,920
55,Antigua and Barbuda,2005,1023
56,Antigua and Barbuda,2006,1158
57,Antigua and Barbuda,2007,1313
58,Antigua and Barbuda,2008,1370
59,Antigua and Barbuda,2009,1228
60,Argentina,2000,317759
61,Argentina,2001,300421
62,Argentina,2002,112458
63,Argentina,2003,142431
64,Argentina,2004,164911
65,Argentina,2005,199273
66,Argentina,2006,232892
67,Argentina,2007,287921
68,Argentina,2008,363545
69,Argentina,2009,334633
70,Armenia,2000,1912
71,Armenia,2001,2118
72,Armenia,2002,2376
73,Armenia,2003,2807
74,Armenia,2004,3577
75,Armenia,2005,4900
76,Armenia,2006,6384
77,Armenia,2007,9206
78,Armenia,2008,11662
79,Armenia,2009,8648
80,Aruba,2000,1873
81,Aruba,2001,1896
82,Aruba,2002,1962
83,Aruba,2003,2044
84,Aruba,2004,2255
85,Aruba,2005,2360
86,Aruba,2006,2470
87,Aruba,2007,2678
88,Aruba,2008,2843
89,Aruba,2009,2554
90,Australia,2000,399650
91,Australia,2001,377526
92,Australia,2002,425115
93,Australia,2003,540950
94,Australia,2004,658379
95,Australia,2005,735633
96,Australia,2006,782398
97,Australia,2007,949037
98,Australia,2008,1055936
99,Australia,2009,999994
100,Austria,2000,197377
101,Austria,2001,197510
102,Austria,2002,214243
103,Austria,2003,262208
104,Austria,2004,301321
105,Austria,2005,316267
106,Austria,2006,336298
107,Austria,2007,389231
108,Austria,2008,432005
109,Austria,2009,401323
110,Azerbaijan,2000,5273
111,Azerbaijan,2001,5475
112,Azerbaijan,2002,6232
113,Azerbaijan,2003,7276
114,Azerbaijan,2004,8682
115,Azerbaijan,2005,13273
116,Azerbaijan,2006,21027
117,Azerbaijan,2007,33090
118,Azerbaijan,2008,48979
119,Azerbaijan,2009,44289
120,Bahamas,2000,8076
121,Bahamas,2001,8318
122,Bahamas,2002,8881
123,Bahamas,2003,8870
124,Bahamas,2004,9055
125,Bahamas,2005,9836
126,Bahamas,2006,10167
127,Bahamas,2007,10618
128,Bahamas,2008,10526
129,Bahamas,2009,9982
130,Bahrain,2000,9063
131,Bahrain,2001,9189
