,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Road Injuries,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Mortality rate attributed to unintentional poisoning (per 100 000 population)
0,-0.3684974688787183,-0.5373652804559447,1.0232484792026797,-0.6484626006880968,-0.3213336354183144
1,-0.3684829643865709,-0.5398003812697353,1.0773239872079277,-0.6484626006880968,1.7284289964423056
2,-0.36834798113689804,-0.5397053641729462,1.105175799858686,-0.6484626006880968,-0.29805309468291963
3,-0.36821034115856316,-0.5402059891916678,1.0596476831455541,-0.6484626006880968,-0.3412493393242261
4,-0.3680771888213276,-0.54198602025202,0.9492137824228133,-0.6484626006880968,0.34559038635314937
5,-0.36784648128541303,-0.5419437093347438,0.908213155318637,-0.6484626006880968,1.1268520494874639
6,-0.3676024039381836,-0.5406979364068187,0.8567386893813541,-0.6484626006880968,1.1096027054518465
7,-0.3674199977897345,-0.5422588295113476,0.769812628878718,-0.6484626006880968,1.019736052511356
8,-0.3672520199584366,-0.5419620708404472,0.746621714395318,-0.6484626006880968,0.22467491414854762
9,-0.36712240828100856,-0.5423561714869765,0.7134113898931947,-0.6484626006880968,0.8441085764078666
10,-0.3670336964434035,-0.5414736269436526,0.6824064615960344,-0.6484626006880968,0.07131366876145724
11,-0.3668939354565418,-0.5419964405215761,0.7968728035399454,-0.6484626006880968,-0.5393191838120838
12,-0.3666485446162198,-0.5425646618202817,0.7532988210487577,-0.6484626006880968,-0.07690314197839095
13,-0.36630510115232195,-0.5425537976227567,0.6005569621824225,-0.6484626006880968,0.30055380676719795
14,-0.36587086261014906,-0.5420012091481549,0.5879091254873154,-0.6484626006880968,-0.6544889238132721
15,-0.3654616286086058,-0.5415340845459368,0.5771959248528659,-0.6484626006880968,0.33026640923981765
16,-0.36494430267023936,-0.5391661465068941,0.599108977001216,-0.6484626006880968,-0.659712316725466
17,-0.3646097994857447,-0.5408249037521903,0.5395344523506516,-0.6484626006880968,-0.2137438888524958
18,-0.37227918801450255,-0.5342735345998655,-0.8163143540341797,-0.38099196728234036,-0.34156517238403317
19,-0.3722734792509062,-0.5269464634389581,-0.814889193323002,-0.13698367014024665,-0.29653466651077026
20,-0.3722677314295903,-0.5260091945283013,-0.7752608435352227,-0.395069369040538,-0.4208574915336753
21,-0.3722621891713183,-0.5185244800619139,-0.7115272745769208,-0.28714262222768894,-0.45605465656409866
22,-0.3722574138262146,-0.5176938752568608,-0.6958190144816341,-0.1463686046457118,-0.5949240234761951
23,-0.3722531558764682,-0.5169532641717546,-0.7319706994732738,-0.024364456074664972,-0.39175226032991545
24,-0.372249322429543,-0.5162864894430574,-0.7753210628100478,-0.047826792338327845,-0.568448709866598
25,-0.3722463870474617,-0.5157759205923369,-0.7776723886582162,-0.014979521569199822,-0.41884709263374953
26,-0.3722448354324218,-0.5087364204651385,-0.7665401100215298,-0.08536653036018843,-0.5693354719191333
27,-0.37224450533655956,-0.5154486231754803,-0.8028078687983251,-0.047826792338327845,-0.5301964673538101
28,-0.37224542564180974,-0.5088454953412879,-0.7947733315861979,-0.03844185783286269,-0.4731278629317466
29,-0.37224702840760765,-0.5091416978152903,-0.7876199082031036,-0.052519259591060415,-0.4964569933686502
30,-0.3722487212533393,-0.5094545476992002,-0.798848869384399,-0.03844185783286269,-0.5641849635592024
31,-0.37225047743605044,-0.5097791027056274,-0.804048902089054,-0.15106107189844437,-0.5627758622154477
32,-0.37225227624394813,-0.5034228059570757,-0.7972063470862539,-0.12290626838204893,-0.6731170006292011
33,-0.3722541182633065,-0.5037832487855867,-0.7874608825756687,-0.09944393211838616,-0.6275034183378329
34,-0.37225599900256207,-0.5041512682496087,-0.7988455143033775,-0.019671988821932395,-0.6771317247163641
35,-0.37225788364710966,-0.504520051893698,-0.8131714925105223,-0.12290626838204893,-0.5773284778173278
36,-0.37225788364710966,-0.504520051893698,-0.8251390677982018,-0.12290626838204893,-0.5804442924265784
37,-0.3691118214788252,-0.5647345990662057,2.4930299564718146,-0.5546132556334454,-0.31875838123834904
38,-0.3687446440255622,-0.565586365516042,2.3967353854861386,-0.6437701334353643,0.041242717240210364
39,-0.3682682216691374,-0.5657561047998413,2.2871393250065495,-0.6484626006880968,-0.1622570263912536
