Drug Use Disorders,per_capita-Interpersonal Violence,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Estimated road traffic death rate (per 100 000 population)
-0.1162076949246695,0.502552875147459,-0.5384630319610255,44342.73,-0.2449852256527943
-0.1121867487830025,0.4975409274286445,-0.5689233647935291,44521.91,0.391636546281665
-0.108453013080026,0.4717540802130198,-0.5824464040510409,47583.46,-0.2218113193827803
-0.1055809086931209,0.4518046549134862,-0.6118019506854172,95631.12,-0.2240606077124796
-0.1038576460609779,0.4498040666858441,-0.652056283608792,97079.55,0.4076484856815498
-0.1018471729901444,0.4553318480012849,-0.6673520969600579,49781.26,-0.2416233503415285
-0.0992622790419299,0.4826809174118941,-0.688689276661265,50560.83,-0.2371480565188145
-0.0966773850937153,0.4773035129000103,-0.7242502465042645,50380.98,-0.2860436766160321
-0.0935180702681198,0.528870607734504,-0.742100452702889,51290.59,-0.2864228542420369
-0.0903587554425243,0.5138765078812135,-0.7588898415109502,52014.96,-0.3031149850850617
-0.0866250197395478,0.5086825263644698,-0.7698439925434947,53104.03,0.2884960743589656
-0.0834657049139522,0.5195061204538983,-0.774213821487197,54978.0,-0.9921131612010716
-0.0805936005270472,0.5028942853452957,-0.7842987598123349,52896.05,-0.3157725329426149
-0.0768598648240707,0.6434040889676992,-0.7954866525412309,53992.63,-0.2910178883676997
-0.0725517082437131,0.6102061260818291,-0.7945401771580015,115964.4,0.4528554392240372
-0.0673819203472841,0.620156295114742,-0.7870259577132664,57681.21,-0.2274199884341006
-0.062212132450855,0.7004493887280177,-0.7772244063467899,58683.41,0.4043024094380342
-0.057616765431807,0.5141237860160235,-0.8050447084586744,126847.1,-0.9550818094543712
-0.1681927843276505,0.1388211354578992,-0.9955663083195596,9336.104,0.3771288444375755
-0.166756732134198,-0.0200148381210157,-1.0160021999987183,5542.121,-0.9595221790220584
-0.165607890379436,-0.1448206384441749,-1.0037011166569412,6408.085,-0.2803177618514078
-0.1653206799407455,-0.2549726655421461,-0.9719824019177964,16431.97,0.4035099614608797
-0.165607890379436,-0.3560483270492302,-0.9604881341980978,8873.849,0.4204058171248938
-0.1676183634502695,-0.4589917777894347,-0.9580571818524364,9773.5,-0.2433978351088402
-0.1681927843276505,-0.5015599977776709,-0.9704530373939716,18486.72,-0.888090436074006
-0.1676183634502695,-0.5034455434335923,-0.96978400130343,10335.51,-0.2546675595940207
-0.1676183634502695,-0.517740269069195,-0.942056303381808,10314.9,-0.2806063027203193
-0.1687672052050315,-0.5443859758854381,-0.927268966434793,8203.162,-0.2881748877025457
-0.1681927843276505,-0.5327835728224046,-0.91120520073668,9658.332,-0.892539120940509
-0.16790557388896,-0.5362493629671833,-0.890365491421601,9781.224,-0.2955630307004672
-0.1676183634502695,-0.5397273668465147,-0.8783353378077252,18952.16,-0.3352943599726884
-0.167331153011579,-0.5432082554403962,-0.8636224781317274,18876.07,-0.9724674362186416
-0.1670439425728885,-0.543749015239446,-0.8462272391731234,19430.57,-0.3540727992886209
-0.166756732134198,-0.5443027653199028,-0.8176860871711994,10254.69,-0.9447766596318342
-0.1664695216955075,-0.5477863705420986,-0.8091477969837633,22923.61,-0.3357966040211683
-0.166182311256817,-0.5541623856537831,-0.7978710421709608,25004.21,-1.046476921799621
-0.166182311256817,-0.5570716076921168,-0.7866159939083581,14134.85,-0.571156979355629
-0.0803063900883567,-0.5477523505598934,-0.906263793943264,94757.45,0.3887744204292347
-0.0762854439466897,-0.5486378617555178,-0.9065356601736833,97816.41,1.1173068532355297
-0.0725517082437131,-0.5508745992822625,-0.9112776669824224,50474.83,-0.3244171175916179
-0.0722644978050226,-0.5549511572386088,-0.9169941117331792,100577.7,-0.3047639088402534
-0.0696796038568081,-0.5674056953590341,-0.91827082125681,51275.57,0.3837278655778688
-0.0670947099085936,-0.5743044983814769,-0.9194434872323264,52410.68,1.0194931617342913
-0.0650842368377601,-0.5796689969441975,-0.9207378985698286,107377.4,0.358449357177552
