,Drug Use Disorders,Acute Hepatitis,per_capita-Cirrhosis and Other Chronic Liver Diseases,Total NCD Deaths (in thousands),Crude suicide rates (per 100 000 population)
0,-0.11620769492466956,0.8127980941622929,-0.5384630319610255,44342.73,-0.4628782833105032
1,-0.11218674878300253,0.840522951892835,-0.5689233647935291,44521.91,-0.496175616172573
2,-0.108453013080026,0.8341598697907433,-0.5824464040510409,47583.46,-0.4595485500242962
3,-0.10558090869312096,0.799844677025892,-0.6118019506854172,95631.12,-0.5303053823561947
4,-0.10385764606097796,0.7262147269874032,-0.652056283608792,97079.55,-0.5386297155717121
5,-0.10184717299014444,0.6278142073372004,-0.6673520969600579,49781.26,-0.5511162153949883
6,-0.09926227904192991,0.5296409406192153,-0.688689276661265,50560.83,-0.5627702818967129
7,-0.09667738509371539,0.45192043780081037,-0.7242502465042645,50380.98,-0.5777540816846443
8,-0.09351807026811985,0.4107876570694323,-0.742100452702889,51290.59,-0.5219810491406772
9,-0.09035875544252434,0.384199063999978,-0.7588898415109502,52014.96,-0.5944027481156793
10,-0.0866250197395478,0.3612465178460046,-0.7698439925434947,53104.03,-0.5744243483984374
11,-0.08346570491395226,0.3476113419129511,-0.774213821487197,54978.0,-0.5744243483984374
12,-0.08059360052704724,0.331703636657722,-0.7842987598123349,52896.05,-0.5552783820027472
13,-0.07685986482407071,0.3160231843347105,-0.7954866525412309,53992.63,-0.6110514145467142
14,-0.07255170824371317,0.3112508727581418,-0.7945401771580015,115964.4,-0.5744243483984374
15,-0.06738192034728412,0.3117053786225769,-0.7870259577132664,57681.21,-0.5219810491406772
16,-0.06221213245085507,0.2948886616384776,-0.7772244063467899,58683.41,-0.5702621817906787
17,-0.057616765431807035,0.2876165678075157,-0.8050447084586744,126847.1,-0.522813482462229
18,-0.16819278432765053,-0.1530268677623298,-0.9955663083195596,9336.104,-0.3288565185406717
19,-0.16675673213419803,-0.1530268677623298,-1.0160021999987183,5542.121,-0.6651595804475778
20,-0.16560789037943602,-0.1530268677623298,-1.0037011166569412,6408.085,-0.6593325471967156
21,-0.1653206799407455,-0.1530268677623298,-0.9719824019177963,16431.97,-0.37963495115532836
22,-0.16560789037943602,-0.1530268677623298,-0.9604881341980978,8873.849,-0.37131061793981085
23,-0.16761836345026954,-0.1530268677623298,-0.9580571818524365,9773.5,-0.10160222175704464
24,-0.16819278432765053,-0.1530268677623298,-0.9704530373939715,18486.72,-0.42708365048377794
25,-0.16761836345026954,-0.1530268677623298,-0.9697840013034301,10335.51,-0.42375391719757094
26,-0.16761836345026954,-0.1530268677623298,-0.942056303381808,10314.9,-0.22729965331135854
27,-0.16876720520503155,-0.1530268677623298,-0.927268966434793,8203.162,-0.06245288264446595
28,-0.16819278432765053,-0.1530268677623298,-0.9112052007366799,9658.332,-0.11575358822342434
29,-0.16790557388896005,-0.1530268677623298,-0.890365491421601,9781.224,-0.2506077863148074
30,-0.16761836345026954,-0.1530268677623298,-0.8783353378077252,18952.16,-0.3355159851130857
31,-0.16733115301157903,-0.1530268677623298,-0.8636224781317274,18876.07,-0.6135487145113695
32,-0.16704394257288852,-0.1530268677623298,-0.8462272391731234,19430.57,-0.6401865808010253
33,-0.16675673213419803,-0.1530268677623298,-0.8176860871711994,10254.69,-0.38546198440619056
34,-0.16646952169550752,-0.1530268677623298,-0.8091477969837633,22923.61,-0.5178188825329184
35,-0.166182311256817,-0.1530268677623298,-0.7978710421709608,25004.21,-0.6634947138044743
36,-0.166182311256817,-0.1530268677623298,-0.7866159939083581,14134.85,-0.39378631762170807
37,-0.08030639008835674,-0.05303557758660414,-0.9062637939432641,94757.45,-0.6260352143346456
38,-0.07628544394668971,-0.05894415382426066,-0.9065356601736833,97816.41,-0.5361324156070569
39,-0.07255170824371317,-0.06826152404518054,-0.9112776669824223,50474.83,-0.5436243155010226
40,-0.07226449780502267,-0.07757889426610044,-0.9169941117331792,100577.7,-0.6526730806243016
41,-0.06967960385680814,-0.08439648223262719,-0.9182708212568101,51275.57,-0.5769216483630926
42,-0.06709470990859362,-0.08803252914810812,-0.9194434872323265,52410.68,-0.5053323827096423
43,-0.0650842368377601,-0.09007780553806614,-0.9207378985698286,107377.4,-0.6010622146880933
44,-0.06336097420561708,-0.09144132313137149,-0.9216055073658258,110072.0,-0.6951271800234408
45,-0.06163771157347407,-0.09257758779245928,-0.922533037405723,56990.54,-0.628532514299301
46,-0.05962723850264055,-0.09348659952132951,-0.9219698281329272,115625.1,-0.5719270484337821
47,-0.057616765431807035,-0.09416835831798219,-0.9211599287036911,60021.16,-0.7234299129562001
48,-0.054170240167521,-0.0946228641824173,-0.9145043349476418,122461.6,-0.7292569462070624
49,-0.05101092534192547,-0.0946228641824173,-0.9070931597386181,126712.9,-0.6035595146527485
50,-0.04756440007763944,-0.0946228641824173,-0.8998807179131408,63955.62,-0.7359164127794764
51,-0.04383066437466291,-0.0946228641824173,-0.8880861495661523,69437.57,-0.7400785793872352
52,-0.04067134954906738,-0.09439561125019975,-0.874385341545416,67942.48,-0.6851379801648197
53,-0.039235297355614866,-0.0946228641824173,-0.862269752491793,69736.36,-0.6959596133449925
54,-0.03521435121394783,-0.09416835831798219,-0.8457010235400991,149949.1,-0.7034515132389582
55,-0.028034090246685264,-0.0946228641824173,-0.8163832085093637,80912.01,-0.6510082139811981
56,-0.02315151278894672,-0.09439561125019975,-0.807470040732051,83746.14,-0.700954213274303
57,-0.16589510081812653,-0.006675979414222251,0.5901164728751936,30045.4,-0.1831806872691158
58,-0.16560789037943602,-0.008494002871962718,0.5526411227672335,23840.76,0.26793157834620734
59,-0.16560789037943602,-0.013266314448531442,0.5064218779725729,30566.13,-0.19649962041394378
60,-0.165033469502055,-0.015084337906271908,0.5009662882917265,57777.83,-0.605224381295852
61,-0.164459048624674,-0.013720820312966559,0.5206943940168048,59261.92,-0.19566718709239206
62,-0.164459048624674,-0.020765661211710865,0.4838583050126443,31644.24,-0.23728885316997944
63,-0.163884627747293,-0.03349182541589413,0.48275785745406535,33518.66,-0.19649962041394378
64,-0.163310206869912,-0.05235381878995147,0.46566571151615005,32294.04,-0.2930618857139466
65,-0.162735785992531,-0.06894328284183322,0.47977734190560273,28153.73,-0.2805753858906704
66,-0.1618741546764595,-0.07916966479162335,0.5182879171782048,27266.0,-0.3513322182225689
67,-0.16129973379907847,-0.08348747050375695,0.5593959031455874,61842.41,-0.32802408521912
68,-0.16015089204431646,-0.08530549396149742,0.5823223101570817,61663.8,-0.36048898475963814
69,-0.15928926072824495,-0.08689626448702033,0.5965801896867988,64652.71,-0.331353818505327
70,-0.15842762941217345,-0.08894154087697835,0.5835284114567869,29383.86,-0.6893001467725786
71,-0.15756599809610194,-0.09166857606358905,0.5322474584558594,35279.6,-0.03914474964101691
72,-0.15670436678003044,-0.09280484072467685,0.516609688468713,30363.73,-0.3696457512967074
73,-0.15555552502526843,-0.09485011711463487,0.48457971691257923,31248.76,-0.07912652207514734
74,-0.1541194728318159,-0.0946228641824173,0.5231646041711893,36811.98,-0.7059488132036135
75,-0.1526834206383634,-0.09666814057237533,0.5715719393517135,70000.51,-0.09244545521997531
